EXTRACTION_RULE,FILE_NAME,HYPERNYM,IS_DEFINITION,PLAIN_TEXT_DEF,PLAIN_TEXT_TERM
definition + emph{},1108.1746#ChromaticThreshold.tex,,FALSE,"[(C,α)-rich in copies of Z_ℓ^r,t]
Let X and Y be disjoint vertex sets in a graph G, let C ∈ and
α > 0, and let s := (2^ℓ+ r - 3) t. We say that (X,Y) is
(C,α)-rich in copies of Z_ℓ^r,t if

    ∃  D=D(e0)⊂ E(X)  ∀  e_1∈ D  ∃ 
    D(e1)⊂ E(X)  ∀  e_2 ∈ D(e1)   …
       …  ∀  e_ℓ-1∈ D(eℓ-2)  ∃  D(eℓ-1) ⊂ E(X)  ∀  e_ℓ∈
    D(eℓ-1)

the following properties hold:

  
  *  δ(D), δ(D(e1)), …,
  δ(D(eℓ-1)) > C, and 
  
  *  |
  { S ∈_ℓ^r,t(Y)  : eℓ→ S }|  ≥α |Y|^s.

If (X,Y) is (C,α)-rich in copies of Z_ℓ^r,t, then, for each q ∈ [ℓ], define

    _q(X,Y)   :=  {eq∈ E(X)^q  :  e_j∈ D(ej-1)
     j ∈ [q] },

where D(e0) := D.","(C,α)-rich"
definition + emph{},1508.03870#RCTdense.tex,,FALSE,"[Definition 21 of <cit.>, (C,α)-rich in copies of Z_ℓ^r,t]
Let X and Y be disjoint vertex sets in a graph G, let C ∈ and
α > 0, and let s := (2^ℓ+ r - 3) t. We say that (X,Y) is
(C,α)-rich in copies of Z_ℓ^r,t if

    ∃  D=D(e0)⊂ E(X)  ∀  e_1∈ D  ∃ 
    D(e1)⊂ E(X)  ∀  e_2 ∈ D(e1)   …
       …  ∀  e_ℓ-1∈ D(eℓ-2)  ∃  D(eℓ-1) ⊂ E(X)  ∀  e_ℓ∈
    D(eℓ-1)

the following properties hold:

  
  *  δ(D), δ(D(e1)), …,
  δ(D(eℓ-1)) > C, and 
  
  *  |
  { S ∈_ℓ^r,t(Y)  : eℓ→ S }|  ≥α |Y|^s.
","(C,α)-rich"
definition + emph{},1203.3444#1203.3444.tex,,FALSE,"Let G=(V,E) be a graph with |V|=n. Let R:=R(n) and c:=c(n)
be two positive integers. We say that the graph G is an
(R,c)-expander if it satisfies the following two
properties:



  (E1) For every subset X⊆ V
        with |X|≤ R, |N(X)∖ X|≥ c|X|.

  (E2) |E(X,Y)|>0 for every two disjoint subsets X,Y⊆ V of size
|X|=|Y|=R.
","(R,c)-expander"
definition + emph{},1210.7618#1210.7618.tex,,FALSE,"For every c>0 and every positive integer R we say that a graph
G=(V,E) is  an (R,c)-expander if |N(U)|≥ c|U| for
every subset of vertices U⊆ V such that |U|≤ R.","(R,c)-expander"
definition + emph{},1508.07355#trace2.tex,,FALSE,"For every c>0 and every positive integer R we say that a graph
  G=(V,E) is an (R,c)-expander if every subset of vertices
  U⊆ V of cardinality |U|≤ R satisfies |N_G(U)|≥ c|U|.","(R,c)-expander"
definition + textit{},1802.06959#1802.06959.tex,,,"Let α = (α)_i=0^s be a decreasing sequence of positive real numbers with α_0 = 1. Let β = (β_i)_i=2^s
+2 be the corresponding BE(δ, α) sequence. Let 0< δ< 1, we say that ε>0 is (δ, j, α )-compatible for j≤ s, if ε satisfies

    (α_j-5ε/α_j-ε - 2ε∑_t=1^j+11/α_t-1)>(1-δ)  and  
    2(d+2)^2ε^1/d+1≤min(α_j, β_j+2)δ.
","(δ, j, α"
definition + textit{},1912.10571#1912.10571.tex,,,"Let α = (α)_i=0^s be a decreasing sequence of positive real numbers with α_0 = 1. Let 0< δ< 1, and β = (β_i)_i=2^s
+2 be the corresponding BE(δ, α) sequence.  We say that ε>0 is (δ, j, α , d)-compatible for j≤ s≤ d-2, if ε satisfies

    (α_j-5ε/α_j-ε - 2ε∑_t=1^j+11/α_t-1)>(1-δ)  and  
    2(d+2)^2ε^1/d+1≤β_j+2δ.
","(δ, j, α"
definition[],1611.05423#revised-infMono-8-14-18.tex,,FALSE,"
Given a 2-colored graph G and a partition {V_0, V_1, …, V_k} satisfying the conclusion of Lemma <ref>, we define the (, d)-reduced graph of G to be the graph Γ on vertex set {V_1, …, V_k} such that V_iV_j is an edge of Γ if G'[V_i, V_j] has density greater than 2d.  For each V_iV_j∈ E(Γ), we assign color 1 if G'_1[V_i, V_j] has density greater than d and color 2 if G'_2[V_i, V_j] has density greater than d (note that since the total density is greater than 2d every edge must receive a color, but it need not be unique).","(,d)-reduced graph"
definition[],1409.1874#2colorCycles_arXiv_090116.tex,,FALSE,"
Given a graph G, an initial partition {Q_1, …, Q_ℓ}, and a partition {V_0, V_1, …, V_k} satisfying conditions (i)-(vi) of Lemma <ref>, we define the (, d)-reduced graph of G to be the graph Γ on vertex set {V_1, …, V_k} such that V_iV_j is an edge of Γ if G'[V_i, V_j] has density at least 2d.  For each V_iV_j∈ E(Γ), we assign color 1 if G'_1[V_i, V_j] has density at least d and color 2 if G'_2[V_i, V_j] has density at least d (note that since the total density is at least 2d every edge must receive a color, but it need not be unique).","(,d)-reduced graph"
definition[],1806.05119#2colorbipartitePath_061318.tex,,FALSE,"
Given an X,Y-bipartite graph G and partitions {U_0, U_1,…, U_k} of X and {V_0,
V_1,…, V_k} of Y satisfying conditions (i)-(v) of Lemma <ref>, we define the (, d)-reduced graph of G to be the bipartite graph Γ on vertex set {U_1, …, U_k}∪{V_1, …, V_k} such that U_iV_j is an edge of Γ if G'[U_i, V_j] has density at least 2d.  For each U_iV_j∈ E(Γ), we assign red if G'_R[U_i, V_j] has density at least d, and blue if G'_B[U_i, V_j] has density at least d.","(,d)-reduced graph"
definition + emph{},1302.2248#erdos100.tex,,FALSE,"[(,p)-regular pair]
	
	Let >0, let p∈(0,1], let H=(V,E) be a graph, 
	and let X, Y⊆ V be non-empty and disjoint. We say the pair (X,Y) is (,p)-regular
	if 
	
    |d_H(X,Y)-d_H(X',Y')|< p

	for all subsets X'⊆ X and Y'⊆ Y with |X'|≥|X| and |Y'|≥|Y|.","(,p)-regular"
definition + emph{},0908.3778#ESRG-extended.tex,,FALSE,"
A bipartite graph  B = (V_1 ∪ V_2, E)  is called (,p)-regular if, for 
all V_1' ⊆ V_1 and V_2' ⊆ V_2  with  |V_1'| ≥ |V_1| 
and |V_2'| ≥ |V_2|, 

    | e(B; V_1', V_2')/|V_1'||V_2'| -|E|/|V_1||V_2||
      ≤ p.
","(,p)-regular"
definition + emph{},0908.3778#ESRG-extended.tex,,FALSE,"Let G=(V,E) be a graph, and fix constants 0<η≤ 1, 0<p≤ 1 and b≥ 1. We say that G is 
(η,b,p)-upper-uniform if, for all disjoint sets X and Y  with  |X|, |Y| ≥η |V|,

    e(G; X,Y)/|X||Y|≤ b p .
","(η,b,p)-upper-uniform"
definition[],1902.07618#1902.07618.tex,,FALSE,"Let G = (V,E) be a graph. Let 0 < η < 1, 0 < p< 1 and b > 1. We say that G is (η, b,p)-upper-uniform, if for all disjoint sets X and Y with |X|,|Y| ≥η |V|,

    d_G(X,Y)=e_G(X,Y)/|X||Y|≤ bp.
","(η,b,p)-upper-uniform"
definition + emph{},1108.1746#ChromaticThreshold.tex,,FALSE,"[Good function, (C,α)-dense]
  A function S ∈_ℓ^r,t(Y) is (r,ℓ,t,C,α)-good
  for a tuple eq and (X,Y) if there exist
  sets 
    E_q+1,…,E_ℓ⊂ E(X),     d(E_j) ≥ 2^-ℓα C
 such that for every e_q+1∈ E_q+1, …, e_ℓ∈ E_ℓ, we have eℓ→ S.

  When the constants (r,ℓ,t,C,α) and the sets (X,Y) are clear
  from the context, we shall omit them. We shall abbreviate
  `(r,ℓ,t,C,α)-good for e0 and (X,Y)' to
  `(r,ℓ,t,C,α)-good for (X,Y)'.

  The pair (X,Y) is (C,α)-dense in copies of Z_ℓ^r,t
  if there exist at least 2^-ℓα |Y|^s families S ∈(Y)
  which are (r,ℓ,t,C,α)-good for (X,Y). ","(r,ℓ,t,C,α)-good;(C,α)-dense"
definition + emph{},1508.03870#RCTdense.tex,,FALSE,"[Definition 23 of <cit.>, Good function, (C,α)-dense]
  A function S ∈_ℓ^r,t(Y) is (r,ℓ,t,C,α)-good
  for  (X,Y) if there exist sets 
  
    E_1,…,E_ℓ⊂ E(X),     d(E_j) ≥ 2^-ℓα C

    such that for every e_1∈ E_1, …, e_ℓ∈ E_ℓ, we have eℓ→ S.

  The pair (X,Y) is (C,α)-dense in copies of Z_ℓ^r,t
  if there exist at least 2^-ℓα |Y|^s families S ∈(Y)
  which are (r,ℓ,t,C,α)-good for (X,Y).","(r,ℓ,t,C,α)-good;(C,α)-dense"
definition + emph{},1807.08182#H.V.conj.tex,,FALSE,"[<cit.>]
An n-poised set 𝒳 is called GC_n set (or GC set)
 if  the
n-fundamental polynomial of each node A∈𝒳 is a
product of n  linear factors.",GC_n set
definition + emph{},1712.06155#H.V.01.20.tex,,FALSE,"[Chung, Yao, <cit.>]
An n-poised set 𝒳 is called GC_n set if  the
n-fundamental polynomial of each node A∈𝒳 is a
product of n  linear factors.",GC_n set
definition[],1105.2851#manuscript.tex,,,", interval subgraph,w(G)]","G[a,b"
definition[],1008.4210#manuscript.tex,,,", interval subgraph,w(G)]
We writeG[a,b]for the subgraph induced by⋃_a≤i ≤b V_i(for1≤a ≤b ≤l), and we call each of these an interval subgraph .
Letw(G)be the maximum numberMsuch thatGhas anM-wide interval subgraph.","G[a,b"
definition + emph{},1408.0589#1408.0589.tex,,FALSE,"Let I be a finite set. 
An I-labeled graph is a triple Γ = (V,ω,τ) where

  (i) V is a finite vertex set;

  (ii) ω : V× V → is a map;

  (iii) τ : V →(I) is a map assigning a subset of I to each vertex.
",I-labeled graph
definition + emph{},1911.05961#affine_FPF_involution.tex,,FALSE,"An I-labeled graph for a finite set I is a triple Γ=(V,ω,τ) where

  (i) V is a finite vertex set;

  (ii) ω: V× V→ is a map;

  (iii) τ: V→𝒫(I) is a map assigning a subset of I to each vertex.
We view Γ as a weighted directed graph on the vertex set V with an edge  x y if ω(x,y)≠ 0.",I-labeled graph
definition[],1902.01322#bipgrid.tex,,FALSE,"Let G be a matching covered graph and ∈G.
		The -perfect matching width , , is defined as the smallest width of a perfect matching decomposition of G such that for every inner edge e holds if T_1,T_2 = Te, then δT_1 and δT_2 are -.",M-Perfect Matching Width
definition[],1902.06307#pmw2.tex,,FALSE,"Let G be a matching covered graph and M ∈G.
	The M-perfect matching width , MG, is defined as the smallest width of a perfect matching decomposition of G such that for every inner edge e holds if T_1,T_2 = Te, then δT_1 and δT_2 are M-.",M-Perfect Matching Width
definition + emph{},1902.06307#pmw2.tex,,FALSE,"
		Let G=A∪ B, E be a bipartite graph and let M∈G be a perfect matching of G. 
		The M-direction GM of G is defined as follows.
		Let M = a_1b_1,…,a_Mb_M
		with a_i∈ A, b_i∈ B for 1≤ i≤M.
		Then,
		
			
  * VGMv_1,…,v_M and
			
			
  * EGMv_i,v_ja_ib_j∈EG, i ≠ j.	
		",M-direction
definition + emph{},1903.02872#2colourings.tex,,FALSE,"
	Let G=A∪ B, E be a bipartite graph and let M∈G be a perfect matching of G. 
	The M-direction GM of G is defined as follows.
	Let M = a_1b_1,…,a_Mb_M
	with a_i∈ A, b_i∈ B for 1≤ i≤M.
	Then,
	
		
  * VGMv_1,…,v_M and
		
		
  * EGMv_i,v_ja_ib_j∈EG, i ≠ j.	
	",M-direction
definition + emph{},1807.06171#1807.06171.tex,,FALSE,"Suppose Σ is an ordered alphabet.
Two words w,w'∈Σ^* are M-equivalent , denoted by w≡_Mw', iff Ψ_Σ(w)=Ψ_Σ(w').
A word w∈Σ^* is M-ambiguous iff it is M-equivalent to another distinct word. Otherwise, w is M-unambiguous . For any word w∈Σ^*, we denote by C_w the set of all words that are M-equivalent to w.",M-equivalent;M-ambiguous;M-unambiguous
definition + emph{},1901.03937#1901.03937.tex,,FALSE,"Suppose Σ is an ordered alphabet.
Two words w,w'∈Σ^* are M-equivalent , denoted by w≡_Mw', iff Ψ_Σ(w)=Ψ_Σ(w').
A word w∈Σ^* is M-ambiguous iff it is M-equivalent to another distinct word. Otherwise, w is . For any word w∈Σ^*, we denote by C_w the set of all words
that are M-equivalent to w.",M-equivalent;M-ambiguous;M-unambiguous
definition + emph{},1808.04102#1808.04102.tex,,FALSE,"Suppose Σ is an ordered alphabet.
Two words w,w'∈Σ^* are M-equivalent , denoted by w≡_Mw', iff Ψ_Σ(w)=Ψ_Σ(w').
A word w∈Σ^* is M-ambiguous iff it is M-equivalent to another distinct word. Otherwise, w is M-unambiguous . We denote the M-equivalence class of a word w∈Σ^* by C_w.",M-equivalent;M-ambiguous;M-unambiguous
definition + emph{},0908.2899#paper.tex,,FALSE,"Let (𝒜_1,P_1) and (𝒜_2,P_2) be 
nanophrases over α.
Then (𝒜_1,P_1) and (𝒜_2,P_2) are
S-homotopic (denote ≃_S) 
if they are related by a finite sequence of 
isomorphism, S-homotopy moves (1) - (3) and inverse of (1) - (3).",S-homotopic
definition + textit{},0904.3478#nanophrase.tex,,FALSE,"Let (α , S) be homotopy data.
 Then nanowords (𝒜_1 ,w_1) and (𝒜_2 , w_2)
 over α are S-homotopic
 (denoted (𝒜_1 , w_1) ≃_S (𝒜_2 , w_2))
 if (𝒜_2 , w_2) can be obtained from (𝒜_1, w_1) by a
 finite sequence of isomorphism, S-homotopy moves 
 (1) - (3) and the inverse of moves (1) - (3).",S-homotopic
definition + emph{},1911.05961#affine_FPF_involution.tex,,FALSE,"
An S-labeled graph Γ=(V,ω,τ) if a W-graph if the free -module generated by V can be given an -module structure with

    H_sx=vx   s∉τ(x)
    
    -v^-1x+∑_y∈ V;s∉τ(y)ω(x,y)y   s∈τ(x)     for s∈ S and x∈ V.
",W-graph
definition + emph{},1408.0589#1408.0589.tex,,FALSE,"
Fix a Coxeter system (W,S). 
An S-labeled graph Γ = (V,ω,τ) is a W-graph
if the free -module 

generated by V may be given an $̋-module structure with 

    H_s    x =  v    x    if s ∉τ(x) 
     -v^-1   x +  ∑_y ∈ V ; s ∉τ(y)ω(x→ y)   y   if s ∈τ(x)    for s ∈ S and x ∈ V.",W-graph
definition + emph{},1008.4210#manuscript.tex,,FALSE,"[Helicopter Cops and Robber game (the jump-searching version)]
For X ⊆ V(G), an X-flap is the vertex set of a connected component of G-X.
Two subsets X,Y ⊆ V(G) touch if N(X) ∩ Y ≠∅.
A position is a pair (X,R), where X⊆ V(G) and R is an X-flap.
(X is the set of vertices currently occupied by the cops and R tells us where the robber is
— since she can run arbitrarily fast, all that matters is which component of G-X contains her.)
At the start, the cops choose a subset X_0, and the robber chooses an X_0-flap R_0.
Note that if there are k cops in the game, then |X_0| ≤ k.
At the start of round i, we have some position (X_i-1,R_i-1).
The cops choose a new set X_i⊆ V(G) with |X_i| ≤ k (and no other restriction), and announce it.
Then the robber, knowing X_i, chooses an X_i-flap R_i which touches R_i-1.
If this is not possible then the cops have won.
Otherwise, i.e. if the robber never runs out of valid moves, the robber wins.",X-flap;touch;position
definition + emph{},1105.2851#manuscript.tex,,FALSE,"[Helicopter Cops and Robber game (the jump-searching version)]












",X-flap;touch;position
definition[],1706.08333#BrownianPermutationAvecDesSimples.tex,,FALSE,"
A domain Δ is a Δ-domain at 1 if there exist two real numbers  R>1 and π/2<ϕ <π such that

    Δ={z ∈ℂ| |z|<R,  z≠ 1,
    |(1-z)|<ϕ}.
 
By extension, for a complex number ρ≠
0, a domain is a Δ-domain at ρ if it the image by
the mapping z→ρ z of a Δ-domain at 1.  A
Δ-neighborhood of ρ is the intersection of a
neighborhood of ρ and a Δ-domain at ρ.",Δ-domain and Δ-neighborhood
definition[],1903.07522#ClassesNonCloses.tex,,FALSE,"
A domain Δ is a Δ-domain at 1 if there exist two real numbers  R>1 and 0<ϕ<π2 such that

    Δ={z ∈ℂ| |z|<R,  z≠ 1,
    |(z-1)|>ϕ}.
 By extension, for a complex number ρ≠
0, a domain is a Δ-domain at ρ if it the image by
the mapping z→ρ z of a Δ-domain at 1.  A
Δ-neighborhood of ρ is the intersection of a
neighborhood of ρ and a Δ-domain at ρ.",Δ-domain and Δ-neighborhood
definition[],1606.01496#canjourmath_new_15Aug.tex,,FALSE,"
Let G=(V,E) be a locally finite simple graph.
For any two functions f,g: V→ℝ, we define

    2Γ(f,g)   :=(fg)-f g-g f;
    
    2Γ_2(f,g)   :=Γ(f,g)-Γ(f, g)-Γ( f,g).
",Γ and Γ_2 operators
definition[],1712.03033#submitted_version.tex,,FALSE,"
Let G=(V,E) be a locally finite simple graph.
For any two functions f,g: V→ℝ, we define

    2Γ(f,g)   :=Δ(fg)-fΔ g-gΔ f;
    
    2Γ_2(f,g)   :=ΔΓ(f,g)-Γ(f,Δ g)-Γ(Δ f,g).
",Γ and Γ_2 operators
definition + emph{},1312.0542#1312.0542.tex,,FALSE,Let Γ be a group. Then a Γ-species F is a combinatorial species F equipped with a group action of Γ on F-structures that respects isomorphisms between F-structures.,Γ-species
definition + emph{},1304.0139#gdg-bplocks.tex,,FALSE,"
 For Γ a finite group, a Γ-species F is a combinatorial species F together with an action of Γ on F-structures which commutes with isomorphisms of those structures.",Γ-species
