CATEGORIES,DD_PAGE_TITLE,DEFINITION,DEF_PAGE_TITLE,HYPERNYM,IS_DEFINITION,PLAIN_TEXT_DEFINITION,TERM
['Definitions/Language Definitions'],Definition:Above,"In the context of numbers, above means greater than.

Note that this applies to:
:the natural numbers $mathbb N$
:the integers $mathbb Z$
:the rational numbers $mathbb Q$
:the real numbers $mathbb R$

but specifically not the complex numbers $mathbb C$ because the complex numbers do not have a usual ordering.
",Definition:Above (Number),,FALSE,"In the context of numbers, above means greater than.

Note that this applies to:
:the natural numbers ℕ
:the integers ℤ
:the rational numbers ℚ
:the real numbers ℝ

but specifically not the complex numbers ℂ because the complex numbers do not have a usual ordering.
",Above
"['Definitions/Language Definitions', 'Definitions/Solid Geometry']",Definition:Above,"Let $a$ and $b$ be points in $3$-dimensional Euclidean space $mathbb R^3$.

Let $P$ be an arbitrary plane embedded in $S$ be distinguished and defined as horizontal.

Then:
:$a$ is above $b$
:
:the height of $a$  $P$ is greater than the height of $b$  $P$.
",Definition:Above (Solid Geometry),,FALSE,"Let a and b be points in 3-dimensional Euclidean space ℝ^3.

Let P be an arbitrary plane embedded in S be distinguished and defined as horizontal.

Then:
:a is above b
:
:the height of a  P is greater than the height of b  P.
",Above
"['Definitions/Language Definitions', 'Definitions/Plane Geometry']",Definition:Above,"Let $a$ and $b$ be points in the cartesian plane $mathbb R^2$.

Then:
:$a$ is above $b$
:
:the $y$ coordinate of $a$ is greater than the $y$ coordinate of $b$.
",Definition:Above (Plane Geometry),,FALSE,"Let a and b be points in the cartesian plane ℝ^2.

Then:
:a is above b
:
:the y coordinate of a is greater than the y coordinate of b.
",Above
"['Definitions/Algebra', 'Definitions/Numbers']",Definition:Absolute,"An absolute number is a number in an expression which has a single value.

It is either expressed using actual figures, in an agreed number system, or by a symbol which is understood to represent that specific number.",Definition:Absolute Number,,FALSE,"An absolute number is a number in an expression which has a single value.

It is either expressed using actual figures, in an agreed number system, or by a symbol which is understood to represent that specific number.",Absolute
"['Definitions/Constants', 'Definitions/Algebra']",Definition:Absolute,"A constant is a name for an object (usually a number, but the concept has wider applications) which does not change during the context of a logical or mathematical argument.


A constant can be considered as an operator which takes no operands.

A constant can also be considered as a variable whose domain is a singleton.",Definition:Constant,,FALSE,"A constant is a name for an object (usually a number, but the concept has wider applications) which does not change during the context of a logical or mathematical argument.


A constant can be considered as an operator which takes no operands.

A constant can also be considered as a variable whose domain is a singleton.",Absolute
['Definitions/Symmetric Functions'],Definition:Absolute,"Let $f: mathbb R^n to mathbb R$ be a real-valued function.

Let $f$ be such that, for all $mathbf x := left( x_1, x_2, ldots, x_n right) in mathbb R^n$:
:$f left(   right){mathbf x} = f left(   right){mathbf y}$
where $mathbf y$ is a permutation of $left( x_1, x_2, ldots, x_n right)$.

Then $f$ is an absolutely symmetric function.",Definition:Symmetric Function/Absolute,,FALSE,"Let f: ℝ^n →ℝ be a real-valued function.

Let f be such that, for all 𝐱 := ( x_1, x_2, …, x_n ) ∈ℝ^n:
:f (   )𝐱 = f (   )𝐲
where 𝐲 is a permutation of ( x_1, x_2, …, x_n ).

Then f is an absolutely symmetric function.",Absolute
"['Definitions/Group Theory', 'Definitions/Generalized Sums']",Definition:Absolute,"Let $V$ be a Banach space.

Let $leftlangle v_i rightrangle_{i mathop in I}$ be an indexed family of elements of $V$.


Then $ds sum leftlbrace v_i: i in I rightrbrace$ converges absolutely  $ds sum leftlbrace leftlVert v_i rightrVert: i mathop in I rightrbrace$ converges.

This nomenclature is appropriate as we have Absolutely Convergent Generalized Sum Converges.",Definition:Generalized Sum/Absolute Net Convergence,,FALSE,"Let V be a Banach space.

Let ⟨ v_i ⟩_i ∈ I be an indexed family of elements of V.


Then ∑{ v_i: i ∈ I } converges absolutely  ∑{‖ v_i ‖: i ∈ I } converges.

This nomenclature is appropriate as we have Absolutely Convergent Generalized Sum Converges.",Absolute
['Definitions/Topology'],Definition:Absolute,"Let $T_1 = left( S_1, tau_1 right)$ be a topological space.

Let $T_2 = left( S_2, tau_2 right)$ be a topological subspace of $T_1$.


Let $T_2$ be a retract of $T_1$.


$T_2$ is an absolute retract of $T_1$ :
:for every closed subspace $B$ of a $T_4$ space $T$ such that $B$ is homeomorphic to $A$, then $B$ is a retract of $T$.",Definition:Retract (Topology)/Absolute,,FALSE,"Let T_1 = ( S_1, τ_1 ) be a topological space.

Let T_2 = ( S_2, τ_2 ) be a topological subspace of T_1.


Let T_2 be a retract of T_1.


T_2 is an absolute retract of T_1 :
:for every closed subspace B of a T_4 space T such that B is homeomorphic to A, then B is a retract of T.",Absolute
['Definitions/Errors'],Definition:Absolute,"Let $x_0$ be an approximation to a (true) value $x$.


The absolute error of $x_0$ in $x$ is defined as:

:$Delta x := x_0 - x$


=== Correction ===
",Definition:Error/Absolute,,FALSE,"Let x_0 be an approximation to a (true) value x.


The absolute error of x_0 in x is defined as:

:Δ x := x_0 - x


=== Correction ===
",Absolute
"['Definitions/Frequency (Descriptive Statistics)', 'Definitions/Class Intervals', 'Definitions/Qualitative Variables', 'Definitions/Descriptive Statistics']",Definition:Absolute,"Let $S$ be a sample or a population.

Let $omega$ be a qualitative variable, or a class interval of a quantitative variable.


The frequency of $omega$ is the number of individuals in $S$ satisfying $omega$.",Definition:Frequency (Descriptive Statistics),,FALSE,"Let S be a sample or a population.

Let ω be a qualitative variable, or a class interval of a quantitative variable.


The frequency of ω is the number of individuals in S satisfying ω.",Absolute
['Definitions/Dispersion (Statistics)'],Definition:Absolute,An absolute measure of dispersion is a measure of dispersion that indicates how spread out or scattered a set of observations with respect to the actual values of those observations.,Definition:Absolute Measure of Dispersion,,FALSE,An absolute measure of dispersion is a measure of dispersion that indicates how spread out or scattered a set of observations with respect to the actual values of those observations.,Absolute
