term,def,file_name,extraction_rule,plain_text_def,plain_text_term,mentioned_proofwiki_terms
"$(\ep,d)$-reduced graph","\label{def:reduced}
Given a 2-colored graph $G$ and a partition $\{V_0, V_1, \dots, V_k\}$ satisfying the conclusion of Lemma \ref{2colordegreeform}, we define the $(\ep, d)$-reduced graph of $G$ to be the graph $\Gamma$ on vertex set $\{V_1, \dots, V_k\}$ such that $V_iV_j$ is an edge of $\Gamma$ if $G'[V_i, V_j]$ has density greater than $2d$.  For each $V_iV_j\in E(\Gamma)$, we assign color $1$ if $G'_1[V_i, V_j]$ has density greater than $d$ and color $2$ if $G'_2[V_i, V_j]$ has density greater than $d$ (note that since the total density is greater than $2d$ every edge must receive a color, but it need not be unique).",1611.05423#revised-infMono-8-14-18.tex,definition[],"
Given a 2-colored graph G and a partition {V_0, V_1, …, V_k} satisfying the conclusion of Lemma <ref>, we define the (, d)-reduced graph of G to be the graph Γ on vertex set {V_1, …, V_k} such that V_iV_j is an edge of Γ if G'[V_i, V_j] has density greater than 2d.  For each V_iV_j∈ E(Γ), we assign color 1 if G'_1[V_i, V_j] has density greater than d and color 2 if G'_2[V_i, V_j] has density greater than d (note that since the total density is greater than 2d every edge must receive a color, but it need not be unique).","(,d)-reduced graph",['Graph']
"$(\ep,d)$-reduced graph","\label{def:reduced}
Given a graph $G$, an initial partition $\{Q_1, \dots, Q_\ell\}$, and a partition $\{V_0, V_1, \dots, V_k\}$ satisfying conditions (i)-(vi) of Lemma \ref{2colordegreeform}, we define the $(\ep, d)$-reduced graph of $G$ to be the graph $\Gamma$ on vertex set $\{V_1, \dots, V_k\}$ such that $V_iV_j$ is an edge of $\Gamma$ if $G'[V_i, V_j]$ has density at least $2d$.  For each $V_iV_j\in E(\Gamma)$, we assign color $1$ if $G'_1[V_i, V_j]$ has density at least $d$ and color $2$ if $G'_2[V_i, V_j]$ has density at least $d$ (note that since the total density is at least $2d$ every edge must receive a color, but it need not be unique).",1409.1874#2colorCycles_arXiv_090116.tex,definition[],"
Given a graph G, an initial partition {Q_1, …, Q_ℓ}, and a partition {V_0, V_1, …, V_k} satisfying conditions (i)-(vi) of Lemma <ref>, we define the (, d)-reduced graph of G to be the graph Γ on vertex set {V_1, …, V_k} such that V_iV_j is an edge of Γ if G'[V_i, V_j] has density at least 2d.  For each V_iV_j∈ E(Γ), we assign color 1 if G'_1[V_i, V_j] has density at least d and color 2 if G'_2[V_i, V_j] has density at least d (note that since the total density is at least 2d every edge must receive a color, but it need not be unique).","(,d)-reduced graph",['Graph']
"$(\ep,d)$-reduced graph","\label{def:reduced}
Given an $X,Y$-bipartite graph $G$ and partitions $\{U_0, U_1,\dots, U_k\}$ of $X$ and $\{V_0,
V_1,\dots, V_k\}$ of $Y$ satisfying conditions (i)-(v) of Lemma \ref{2colordegreeform}, we define the $(\ep, d)$-reduced graph of $G$ to be the bipartite graph $\Gamma$ on vertex set $\{U_1, \dots, U_k\} \cup \{V_1, \dots, V_k\}$ such that $U_iV_j$ is an edge of $\Gamma$ if $G'[U_i, V_j]$ has density at least $2d$.  For each $U_iV_j\in E(\Gamma)$, we assign red if $G'_R[U_i, V_j]$ has density at least $d$, and blue if $G'_B[U_i, V_j]$ has density at least $d$.",1806.05119#2colorbipartitePath_061318.tex,definition[],"
Given an X,Y-bipartite graph G and partitions {U_0, U_1,…, U_k} of X and {V_0,
V_1,…, V_k} of Y satisfying conditions (i)-(v) of Lemma <ref>, we define the (, d)-reduced graph of G to be the bipartite graph Γ on vertex set {U_1, …, U_k}∪{V_1, …, V_k} such that U_iV_j is an edge of Γ if G'[U_i, V_j] has density at least 2d.  For each U_iV_j∈ E(Γ), we assign red if G'_R[U_i, V_j] has density at least d, and blue if G'_B[U_i, V_j] has density at least d.","(,d)-reduced graph",['Graph']
"$(\eps,p)$-regular","[$(\eps,p)$-regular pair]
	\label{def:ep-reg}
	Let $\eps>0$, let $p\in(0,1]$, let $H=(V,E)$ be a graph, 
	and let $X$, $Y\subseteq V$ be non-empty and disjoint. We say the pair $(X,Y)$ is \emph{$(\eps,p)$-regular}
	if 
	\[
		|d_H(X,Y)-d_H(X',Y')|<\eps p
	\]
	for all subsets $X'\subseteq X$ and $Y'\subseteq Y$ with $|X'|\geq \eps|X|$ and $|Y'|\geq \eps|Y|$.",1302.2248#erdos100.tex,definition + \emph{},"[(,p)-regular pair]
	
	Let >0, let p∈(0,1], let H=(V,E) be a graph, 
	and let X, Y⊆ V be non-empty and disjoint. We say the pair (X,Y) is (,p)-regular
	if 
	
    |d_H(X,Y)-d_H(X',Y')|< p

	for all subsets X'⊆ X and Y'⊆ Y with |X'|≥|X| and |Y'|≥|Y|.","(,p)-regular",['Regular']
"$(\eps,p)$-regular","\label{def:eps_p_regular}
A bipartite graph ~$B = (V_1 \cup V_2, E)$  is called \emph{$(\eps,p)$-regular} if, for 
all~$V_1' \subseteq V_1$ and~$V_2' \subseteq V_2$  with ~$|V_1'| \ge \eps |V_1|$ 
and~$|V_2'| \ge \eps |V_2|$, 
\[
  \bigg| \frac{e(B;\,V_1', V_2')}{|V_1'||V_2'|} -\frac{|E|}{|V_1||V_2|} \bigg|
  \le \eps p.
\]",0908.3778#ESRG-extended.tex,definition + \emph{},"
A bipartite graph  B = (V_1 ∪ V_2, E)  is called (,p)-regular if, for 
all V_1' ⊆ V_1 and V_2' ⊆ V_2  with  |V_1'| ≥ |V_1| 
and |V_2'| ≥ |V_2|, 

    | e(B; V_1', V_2')/|V_1'||V_2'| -|E|/|V_1||V_2||
      ≤ p.
","(,p)-regular",['Regular']
"$(r,\ell,t,C,\alpha)$-good;$(C,\alpha)$-dense","[Good function, $(C,\alpha)$-dense]\label{def:good}
  A function $S \in \cF_\ell^{r,t}(Y)$ is \emph{$(r,\ell,t,C,\alpha)$-good}
  for a tuple $\tpl{e}{q}$ and $(X,Y)$ if there exist
  sets $$E_{q+1},\ldots,E_\ell \subset E(X), \quad \textup{with} \quad
  \ol{d}(E_j) \ge 2^{-\ell} \alpha C \quad \textup{ for each $q + 1 \le j
    \le \ell$,}$$ such that for every $e_{q+1} \in E_{q+1}, \ldots, e_\ell
  \in E_\ell$, we have $\tpl{e}{\ell} \to S$.

  When the constants $(r,\ell,t,C,\alpha)$ and the sets $(X,Y)$ are clear
  from the context, we shall omit them. We shall abbreviate
  `$(r,\ell,t,C,\alpha)$-good for $\tpl{e}{0}$ and $(X,Y)$' to
  `$(r,\ell,t,C,\alpha)$-good for $(X,Y)$'.

  The pair $(X,Y)$ is \emph{$(C,\alpha)$-dense} in copies of $Z_\ell^{r,t}$
  if there exist at least $2^{-\ell} \alpha |Y|^s$ families $S \in \cF(Y)$
  which are $(r,\ell,t,C,\alpha)$-good for $(X,Y)$. %$\tpl{e}{0}$ and $(X,Y)$.",1108.1746#ChromaticThreshold.tex,definition + \emph{},"[Good function, (C,α)-dense]
  A function S ∈_ℓ^r,t(Y) is (r,ℓ,t,C,α)-good
  for a tuple eq and (X,Y) if there exist
  sets 
    E_q+1,…,E_ℓ⊂ E(X),     d(E_j) ≥ 2^-ℓα C
 such that for every e_q+1∈ E_q+1, …, e_ℓ∈ E_ℓ, we have eℓ→ S.

  When the constants (r,ℓ,t,C,α) and the sets (X,Y) are clear
  from the context, we shall omit them. We shall abbreviate
  `(r,ℓ,t,C,α)-good for e0 and (X,Y)' to
  `(r,ℓ,t,C,α)-good for (X,Y)'.

  The pair (X,Y) is (C,α)-dense in copies of Z_ℓ^r,t
  if there exist at least 2^-ℓα |Y|^s families S ∈(Y)
  which are (r,ℓ,t,C,α)-good for (X,Y). ","(r,ℓ,t,C,α)-good;(C,α)-dense",['Dense']
"$(r,\ell,t,C,\alpha)$-good;$(C,\alpha)$-dense","[Definition~23 of~\cite{ChromThresh}, Good function, $(C,\alpha)$-dense]\label{def:good}
  A function $S \in \cF_\ell^{r,t}(Y)$ is \emph{$(r,\ell,t,C,\alpha)$-good}
  for  $(X,Y)$ if there exist sets 
  \[E_{1},\ldots,E_\ell \subset E(X), \quad \textup{with} \quad
  \ol{d}(E_j) \ge 2^{-\ell} \alpha C \quad \textup{ for each $1 \le j
    \le \ell$\,,}\]
    such that for every $e_{1} \in E_{1}, \ldots, e_\ell
  \in E_\ell$, we have $\tpl{e}{\ell} \to S$.

  The pair $(X,Y)$ is \emph{$(C,\alpha)$-dense} in copies of $Z_\ell^{r,t}$
  if there exist at least $2^{-\ell} \alpha |Y|^s$ families $S \in \cF(Y)$
  which are $(r,\ell,t,C,\alpha)$-good for $(X,Y)$.",1508.03870#RCTdense.tex,definition + \emph{},"[Definition 23 of <cit.>, Good function, (C,α)-dense]
  A function S ∈_ℓ^r,t(Y) is (r,ℓ,t,C,α)-good
  for  (X,Y) if there exist sets 
  
    E_1,…,E_ℓ⊂ E(X),     d(E_j) ≥ 2^-ℓα C

    such that for every e_1∈ E_1, …, e_ℓ∈ E_ℓ, we have eℓ→ S.

  The pair (X,Y) is (C,α)-dense in copies of Z_ℓ^r,t
  if there exist at least 2^-ℓα |Y|^s families S ∈(Y)
  which are (r,ℓ,t,C,α)-good for (X,Y).","(r,ℓ,t,C,α)-good;(C,α)-dense",['Dense']
$I$-labeled graph,"Let $I$ be a finite set. 
An \emph{$I$-labeled graph} is a triple $\Gamma = (V,\omega,\tau)$ where
\ben
\item[(i)] $V$ is a finite vertex set;
\item[(ii)] $\omega : V\times V \to \cA$ is a map;
\item[(iii)] $\tau : V \to \cP(I)$ is a map assigning a subset of $I$ to each vertex.
\een",1408.0589#1408.0589.tex,definition + \emph{},"Let I be a finite set. 
An I-labeled graph is a triple Γ = (V,ω,τ) where

  (i) V is a finite vertex set;

  (ii) ω : V× V → is a map;

  (iii) τ : V →(I) is a map assigning a subset of I to each vertex.
",I-labeled graph,['Graph']
$I$-labeled graph,"An \emph{$I$-labeled graph} for a finite set $I$ is a triple $\Gamma=(V,\omega,\tau)$ where
\ben
\item[(i)] $V$ is a finite vertex set;
\item[(ii)] $\omega: V\times V\to \cA$ is a map;
\item[(iii)] $\tau: V\to \mathcal{P}(I)$ is a map assigning a subset of $I$ to each vertex.
\een
We view $\Gamma$ as a weighted directed graph on the vertex set $V$ with an edge  $x\xrightarrow{\omega(x,y)} y$ if $\omega(x,y)\neq 0$.",1911.05961#affine_FPF_involution.tex,definition + \emph{},"An I-labeled graph for a finite set I is a triple Γ=(V,ω,τ) where

  (i) V is a finite vertex set;

  (ii) ω: V× V→ is a map;

  (iii) τ: V→𝒫(I) is a map assigning a subset of I to each vertex.
We view Γ as a weighted directed graph on the vertex set V with an edge  x y if ω(x,y)≠ 0.",I-labeled graph,['Graph']
$M$-Perfect Matching Width,"Let $G$ be a matching covered graph and $\Matching \in \perf{G}$.
		The \emph{$\Matching$-perfect matching width} , $\Mpmw{\Matching}{}$, is defined as the smallest width of a perfect matching decomposition of $G$ such that for every inner edge $e$ holds if $\br{T_1,T_2} = \splitTree{T}{e}$, then $\delta\br{\Leaves{T_1}}$ and $\delta\br{\Leaves{T_2}}$ are $\Matching$-\conformal.",1902.01322#bipgrid.tex,definition[],"Let G be a matching covered graph and ∈G.
		The -perfect matching width , , is defined as the smallest width of a perfect matching decomposition of G such that for every inner edge e holds if T_1,T_2 = Te, then δT_1 and δT_2 are -.",M-Perfect Matching Width,['Perfect']
