,title,term,definition,pred
0,Definition:Order of Group Element/Finite/Also known as,Torsion,"Let G be a group.


An element of finite order of G is also known as a torsion element of G.


Category:Definitions/Order of Group Elements",Definition:Order of Group Element/Finite/Also known as
1,Definition:Torsion Subgroup,Torsion,"Let G be an abelian group.


Its torsion subgroup T (   )G is the subgroup of all torsion elements.",Definition:Torsion Subgroup
2,Definition:Torsion Group,Torsion,"Let G be a group.


Then G is a torsion group  if and only if  all its elements are torsion elements.",Definition:Torsion Group
3,Definition:Torsion Element of Module,Torsion,"Let R be a commutative ring with unity.

Let M be a unitary module over R.

Let m ∈ M.


Then m is a torsion element  if and only if  there exists a regular element a ∈ R with a m = 0.",Definition:Torsion Element of Module
4,Definition:Torsion Submodule,Torsion,"Let R be a commutative ring with unity.

Let M be a unitary module over R.


The torsion submodule T(M) of M is the submodule of all torsion elements of M.",Definition:Torsion Submodule
5,Definition:Torsion Module,Torsion,"Let R be a commutative ring with unity.

Let M be a unitary module over R.


Then M is a torsion module  if and only if  every element of M is of torsion, that is, M equals its torsion submodule T (   )M.",Definition:Torsion Module
6,Definition:Simple Group,Simple,"A group G is simple  if and only if  it has only G and the trivial group as normal subgroups.

That is,  if and only if  the composition length of G is 1.",Definition:Simple Group
7,Definition:Simple Field Extension,Simple,"Let E / F be a field extension.


Then E is a simple extension over F  if and only if :
:∃α∈ E: E = F [ α]
where F [ α] is the field extension generated by α.",Definition:Simple Field Extension
8,Definition:Continued Fraction/Simple/Finite,Simple,"Let ℝ be the set of real numbers.

Let n ≥ 0 be a natural number.


A simple finite continued fraction of length n is a finite continued fraction in ℝ of length n whose partial denominators are integers that are strictly positive, except perhaps the first.

That is, it is a finite sequence a: [ 0  . . ]n →ℤ with a_n > 0 for n > 0.",Definition:Continued Fraction/Simple/Finite
9,Definition:Contour/Simple,Simple,"Let ℝ^n be a real cartesian space of n dimensions.

Let C_1, …, C_n be directed smooth curves in ℝ^n.

Let C_i be parameterized by the smooth path ρ_i: [ a_i  . . ]b_i→ℝ^n for all i ∈{ 1, 2, …, n }.

Let C be the contour in ℝ^n defined by the finite sequence C_1, …, C_n.


C is a simple contour  if and only if :

:(1): For all i, j ∈{ 1, …, n }, t_1 ∈[ a_i  . . )b_i, t_2 ∈[ a_j  . . )b_j with t_1  t_2, we have ρ_i (   )t_1ρ_j (   )t_2

:(2): For all k ∈{ 1, …, n }, t ∈[ a_k  . . )b_k where either k  1 or t  a_1, we have ρ_k (   )t ρ_n (   )b_n.


Thus a simple contour is a contour that does not intersect itself.


=== Complex Plane ===

The definition carries over to the complex plane, in which context it is usually applied:

Let C_1, …, C_n be directed smooth curves in the complex plane ℂ.

Let C_k be parameterized by the smooth path γ_k: [ a_k  . . ]b_k→ℂ for all k ∈{ 1, …, n }.

Let C be the contour defined by the finite sequence C_1, …, C_n.


C is a simple contour  if and only if :

:(1): For all j, k ∈{ 1, …, n }, t_1 ∈[ a_j  . . )b_j, t_2 ∈[ a_k  . . )b_k with t_1  t_2, we have γ_j (   )t_1γ_j (   )t_2.

:(2): For all k ∈{ 1, …, n }, t ∈[ a_k  . . )b_k where either k  1 or t  a_1, we have γ_k (   )t γ_n (   )b_n.


Thus a simple contour is a contour that does not intersect itself.",Definition:Contour/Simple
10,Definition:Simple Graph,Simple,"A simple graph is a graph which is:

:An undirected graph, that is, the edges are defined as doubleton sets of vertices and not ordered pairs

:Not a multigraph, that is, there is no more than one edge between each pair of vertices

:Not a loop-graph, that is, there are no loops, that is, edges which start and end at the same vertex

:Not a weighted graph, that is, the edges are not mapped to a number.


=== Formal Definition ===
Let V be a set.

Let ℛ be an endorelation on V which is antireflexive and symmetric.

Let E be the set whose elements of the form:
:{( v_a, v_b ), ( v_b, v_a )  }.
where ( v_a, v_b ) and ( v_b, v_a ) are elements of ℛ 


A simple graph is an ordered pair G = ( V, E ), where V and E are defined as above.


V is called the vertex set.

E is called the edge set.",Definition:Simple Graph
11,Definition:Digraph/Simple Digraph,Simple,"Let D = ( V, E ) be a digraph.

If the relation E in D is also specifically asymmetric, then D is called a simple digraph.

That is, in a simple digraph there are no pairs of arcs (like there are between v_1 and v_4 in the diagram above) which go in both directions between two vertices.",Definition:Digraph/Simple Digraph
12,Definition:Multigraph/Simple Edge,Simple,"Let G = ( V, E ) be a multigraph.


A simple edge is an edge u v of G which is the only edge of G which is incident to both u and v.


Category:Definitions/Edges of Graphs
Category:Definitions/Multigraphs",Definition:Multigraph/Simple Edge
13,Definition:Simple Function,Simple,"Let ( X, x3a3) be a measurable space.

A real-valued function f: X →ℝ is said to be a simple function  if and only if  it is a finite linear combination of characteristic functions:

:f = ∑_k  = 1^n a_k χ_S_k

where a_1, a_2, …, a_n are real numbers and each of the sets S_k is x3a3-measurable.


=== Positive Simple Function ===

When all of the a_i are positive, f is also said to be positive.

 

=== Banach Space ===
Let 𝔽∈{ℝ, ℂ}. 

Let I be a real interval.

Let X be a Banach space over 𝔽. 

Let f : I → X be a function.


We say that f is simple  if and only if  there exists: 

:Lebesgue measurable subsets Ω_1, …, Ω_r of I with finite Lebesgue measure
:x_1, …, x_r ∈ X 

such that: 

:f (   )t = ∑_r  = 1^n x_r χ_Ω_r(   )t

for each t ∈ I.",Definition:Simple Function
14,Definition:Root of Number,Root,"Let x, y ∈ℝ_≥ 0 be positive real numbers.

Let n ∈ℤ be an integer such that n  0.


Then y is the positive nth root of x  if and only if :
:y^n = x

and we write:
:y = √(x)


Using the power notation, this can also be written:
:y = x^1/n


When n = 2, we write y = √(x) and call y the positive square root of x.

When n = 3, we write y = √(x) and call y the cube root of x.


Note the special case where x = 0 = y:
:0 = √(0)


=== Index ===
Let √(x) denote the nth root of x.

The number n is known as the index of the root.


If n is not specified, that is √(x) is presented, this means the square root.

=== Extraction of Root ===
The process of evaluating roots of a given real number is referred to as extraction.",Definition:Root of Number
15,Definition:Root of Equation,Root,"Let E (   )x be a mathematical expression representing an equation which is dependent upon a variable x.

A root of E (   )x is a constant which, when substituted for x in E (   )x, makes E (   )x a true statement.


=== Extraction of Root ===
The process of finding roots of a given equation is referred to as extraction.",Definition:Root of Equation
16,Definition:Root of Mapping,Root,"Let f: R → R be a mapping on a ring R.

Let x ∈ R.


Then the values of x for which f (   )x = 0_R are known as the roots of the mapping f.",Definition:Root of Mapping
17,Definition:Root of Polynomial,Root,"Let R be a commutative ring with unity.

Let f ∈ R [ x ] be a polynomial over R.


A root in R of f is an element x ∈ R for which f (   )x = 0, where f (   )x denotes the image of f under the evaluation homomorphism at x.",Definition:Root of Polynomial
18,Definition:Rooted Tree/Root Node,Root,"Let T be a rooted tree.

The root node of T is the node of T which is distinguished from the others by being the ancestor node of every node of T.",Definition:Rooted Tree/Root Node
19,Definition:Labeled Tree for Propositional Logic/Hypothesis Set,Root,"Let (T, 𝐇, Φ) be a labeled tree for propositional logic.


The countable set 𝐇 of WFFs of propositional logic is called the hypothesis set.

The elements of 𝐇 are known as hypothesis WFFs.


The hypothesis set 𝐇 is considered to be attached to the root node of T.",Definition:Labeled Tree for Propositional Logic/Hypothesis Set
20,Definition:Non-Negative Definite Mapping,Definite,"Let ℂ be the field of complex numbers.

Let F be a subfield of ℂ.

Let V be a vector space over F

Let ⟨·,   ⟩·: V × V →𝔽 be a mapping.


Then ⟨·,   ⟩·: V × V →𝔽 is non-negative definite  if and only if :

:∀ x ∈ V: ⟨ x,   ⟩ x ∈ℝ_≥ 0


That is, the image of ⟨ x,   ⟩ x is always a non-negative real number.",Definition:Non-Negative Definite Mapping
21,Definition:Definite Integral,Definite,"Let [ a  . . ]b be a closed real interval.

Let f: [ a  . . ]b →ℝ be a real function.


=== Riemann Integral ===
Let [ a  . . ]b be a closed real interval.

Let f: [ a  . . ]b →ℝ be a real function.

Let Δ be a finite subdivision of [ a  . . ]b, Δ = { x_0, …, x_n }, x_0 = a and x_n = b.

Let there for Δ be a corresponding sequence C of sample points c_i, C = ( c_1, …, c_n ), where c_i ∈[ x_i - 1 . . ]x_i for every i ∈{ 1, …, n }.

Let S (   )f; Δ, C denote the Riemann sum of f for the subdivision Δ and the sample point sequence C.


Then f is said to be (properly) Riemann integrable on [ a  . . ]b  if and only if :
:∃ L ∈ℝ: ∀ϵ∈ℝ_>0: ∃δ∈ℝ_>0: ∀ finite subdivisions Δ of [ a  . . ]b: ∀ sample point sequences C of Δ: ‖Δ‖ < δ| S (   )f; Δ, C - L | < ϵ
where ‖Δ‖ denotes the norm of Δ.


The real number L is called the Riemann integral of f over [ a  . . ]b and is denoted:
:∫_a^b f (   )x  d x


More usually (and informally), we say:
:f is (Riemann) integrable over [ a  . . ]b.


=== Riemann Integral as Integral Operator ===
Let C [ a  . . ]b be the space of continuous functions.

Let x ∈ C [ a  . . ]b be a Riemann integrable function.

Let ℝ be the set of real numbers.


The Riemann integral operator, denoted by I, is the mapping I : C [ a  . . ]b →ℝ such that:

:I (   )x := ∫_a^b x (   )t  d t

where ∫_a^b x (   )t  d t is the Riemann integral.

=== Darboux Integral ===
Let [ a  . . ]b be a closed real interval.

Let f: [ a  . . ]b →ℝ be a real function.

Let f be bounded on [ a  . . ]b.


Suppose that:
:∫_a^b f (   )x  d x = ∫_a^b f (   )x  d x
where ∫_a^b and ∫_a^b denote the lower Darboux integral and upper Darboux integral, respectively.


Then the definite (Darboux) integral of f over [ a  . . ]b is defined as:
:∫_a^b f (   )x  d x = ∫_a^b f (   )x  d x = ∫_a^b f (   )x  d x


f is formally defined as (properly) integrable over [ a  . . ]b in the sense of Darboux, or (properly) Darboux integrable over [ a  . . ]b.


More usually (and informally), we say:
:f is (Darboux) integrable over [ a  . . ]b.",Definition:Definite Integral
22,Definition:Segment of Circle,Segment,":

 
: 
:A segment of a circle is the figure contained by a straight line and a circumference of a circle.
 ”
 

=== Base ===
:

The base of a segment of a circle is the straight line forming one of the boundaries of the seqment.

In the above diagram, AB is the base of the highlighted segment.


Category:Definitions/Segments of Circles

=== Angle of a Segment ===
 
: 
:An angle of a segment is that contained by a straight line and a circumference of a circle.
 ”
 
That is, it is the angle the base makes with the circumference where they meet.


It can also be defined as the angle between the base and the tangent to the circle at the end of the base:

:


Category:Definitions/Segments of Circles

=== Angle in a Segment ===
 
: 
:An angle in a segment is the angle which, when a point is taken on the circumference of the segment and straight lines are joined from it to the extremities of the straight line which is the base of the segment, is contained by the straight lines so joined.
 ”
 
: 
:And, when the straight lines containing the angle cut off a circumference, the angle is said to stand upon that circumference.
 ”
 

:

Such a segment is said to admit the angle specified.


Category:Definitions/Segments of Circles

=== Similar Segments ===
 
: 
:Similar segments of circles are those which admit equal angles, or in which the angles are equal to one another.
 ”
 


Category:Definitions/Segments of Circles

=== Major Segment ===
Let AB be a chord of a circle 𝒞 defined by the points A and B on the circumference of 𝒞.

The major segment of 𝒞   AB is the segment between AB and the major arc of 𝒞 between A and B.

=== Minor Segment ===
Let AB be a chord of a circle 𝒞 defined by the points A and B on the circumference of 𝒞.

The minor segment of 𝒞   AB is the segment between AB and the minor arc of 𝒞 between A and B.",Definition:Segment of Circle
23,Definition:Line/Segment,Segment,"A line segment is any line (straight or not) which terminates at two points.


=== Straight Line Segment ===
A straight line segment is a line segment which is straight.


 
:A straight line segment can be drawn joining any two points.
 


Thus a definition for straight line which is frequently encountered is:
:A straight line is the shortest distance between two points.
This is all very well but it assumes that the line in question terminates at two particular endpoints.

=== Endpoint ===
Each of the points at either end of a line segment is called an endpoint of that line segment.

Similarly, the point at which an infinite half-line terminates is called the endpoint of that line.


 
: 
:The extremities of a line are points.
 ”
 

=== Midpoint ===
Let L = AB be a line segment whose endpoints are A and B.

Let M be a point on L such that the line segment AM is equal to the line segment MB.

That is, let M be the bisector of L.


Then M is the midpoint of L.",Definition:Line/Segment
24,Definition:Initial Segment,Segment,"Let ( S, ≼) be a well-ordered set.

Let a ∈ S.


The initial segment (of S) determined by a is defined as:

:S_a := { b ∈ S: b ≼ a  b  a }

which can also be rendered as:

:S_a := { b ∈ S: b ≺ a }


That is, S_a is the set of all elements of S that strictly precede a.

That is, S_a is the strict lower closure of a (in S).


By extension, S_a is described as an initial segment (of S).


=== Class Theoretical Definition ===
 
Let A be a class.

Let ≼ be a well-ordering on A.

Let a ∈ A.


The initial segment (of A) determined by a is defined as:

:A_a := { b ∈ S: b ≼ a  b  a }

which can also be rendered as:

:A_a := { b ∈ S: b ≺ a }",Definition:Initial Segment
25,Definition:Lower Closure/Element,Segment,"Let ( S, ≼) be an ordered set.

Let a ∈ S.


The lower closure of a (in S) is defined as:

:a^≼ := { b ∈ S: b ≼ a }


That is, a^≼ is the set of all elements of S that precede a.


=== Class Theory ===
 
Let A be a class under an ordering ≼.

Let a ∈ A.


The lower closure of a (in A) is defined as:

:a^≼ := { b ∈ A: b ≼ a }",Definition:Lower Closure/Element
26,Definition:Submatrix,Segment,"Let 𝐀 be a matrix with m rows and n columns.


A submatrix of 𝐀 is a matrix formed by selecting from 𝐀:
:a subset of the rows
and:
:a subset of the columns
and forming a new matrix by using those entries, in the same relative positions, that appear in both the rows and columns of those selected.",Definition:Submatrix
27,Definition:Singular Statement,Singular,"A singular statement is a statement whose subject is identified by means of a proper name.

More generally, it is a statement which contains no variables, either bound or free.


=== Individuating Description ===
An individuating description is a predicate whose purpose is to uniquely identify a particular object.

=== Designatory Function ===
A designatory function is a propositional function which, on replacement of the operand with a constant, becomes an individuating description.",Definition:Singular Statement
28,Definition:Non-Invertible Matrix,Singular,"Let ( R, +, ∘) be a ring with unity.

Let n ∈ℤ_>0 be a (strictly) positive integer.

Let 𝐀 be an element of the ring of square matrices ( ℳ_R (   )n, +, ×).


=== Definition 1 ===
Let ( R, +, ∘) be a ring with unity.

Let n ∈ℤ_>0 be a (strictly) positive integer.

Let 𝐀 be an element of the ring of square matrices ( ℳ_R (   )n, +, ×).


Let 𝐀 have no inverse.

Then 𝐀 is referred to as non-invertible.

=== Definition 2 ===
Let ( R, +, ∘) be a ring with unity.

Let n ∈ℤ_>0 be a (strictly) positive integer.

Let 𝐀 be an element of the ring of square matrices ( ℳ_R (   )n, +, ×).


Let the determinant of 𝐀 be equal to 0.

Then 𝐀 is referred to as non-invertible.",Definition:Non-Invertible Matrix
29,Definition:Singular Cardinal,Singular,"Let κ be an infinite cardinal.


Then κ is a singular cardinal  if and only if  cf(   )κ < κ.

That is, the cofinality of κ is less than itself.

 ",Definition:Singular Cardinal
30,Definition:Singular Point,Singular,"=== Real Analysis ===

Let C be a locus.
Let C be a locus.

A point P ∈ C is called a singular point  if and only if  P does not have a unique tangent to C which is itself differentiable.

=== Complex Analysis ===
Let U ⊆ℂ be an open set.

Let f : U →ℂ be a complex function.


A singular point of f is a point at which f is not analytic.",Definition:Singular Point
31,Definition:Variable/Value,Value,"A variable x may be (temporarily, conceptually) identified with a particular object.

If so, then that object is called the value of x.",Definition:Variable/Value
32,Definition:Absolute Value,Value,"=== Definition 1 ===
Let x ∈ℝ be a real number.


The absolute value of x is denoted | x |, and is defined using the usual ordering on the real numbers as follows:
:| x | =  x     : x > 0 
 0     : x = 0 
 -x     : x < 0

=== Definition 2 ===
Let x ∈ℝ be a real number.

The absolute value of x is denoted | x |, and is defined as:

:| x | = +√(x^2)

where +√(x^2) is the positive square root of x^2.",Definition:Absolute Value
33,Definition:Value of Continued Fraction,Value,"Let F be a field, such as the field of real numbers ℝ.


=== Finite Continued Fraction ===
Let F be a field, such as the field of real numbers ℝ.

Let n ≥ 0 be a natural number.

Let ⟨ a_k ⟩_0 ≤ k ≤ n be a finite continued fraction in F.

Let F = F ∪{∞} be extended by infinity.


=== Definition 1 ===

The value [ a_0, a_1, …, a_n ] ∈ F ∪{∞} is the right iteration of the binary operation:
:[ ·, ·]: F ×F→F:
:[ a, b ] = a +  1 b.
That is, it is recursively defined as:
:[ a_0, …, a_n ] =  
  a_0     : n = 0 

  a_0 +  1 [ a_1, …, a_n ]     : n > 0
or as:
:[ a_0, …, a_n ] = 
  a_0     : n = 0 
[ a_0, …, a_n - 2, a_n - 1 +  1 a_n]     : n > 0


=== Definition 2 ===

Let the matrix product:
:[ a_0   1;   1   0 ]⋯[ a_n   1;   1   0 ] = [ x_11 x_12; x_21 x_22 ]


The value of the finite continued fraction is x_11x_21

=== Infinite Continued Fraction ===
Let ( F, ‖ · ‖) be a valued field.

Let C = ⟨ a_n ⟩_n ≥ 0 be a infinite continued fraction in F.


Let C converge to x ∈ F:

Then x is the value of C.",Definition:Value of Continued Fraction
