,title,term,definition,pred
0,Definition:Logical Not,Negation,"The logical not or (logical) negation operator is a unary connective whose action is to reverse the truth value of the statement on which it operates.

:p is defined as:
:p is not true
:It is not the case that p is true
:It is false that p
:p is false.


Thus the statement p is called the negation of p.


p is voiced not p.


=== Truth Function ===
The logical not connective defines the truth function f^ as follows:

 
 
 
 

=== Truth Table ===
The characteristic truth table of the negation operator p is as follows:

:[ p p; F T; T F;   ]

=== Boolean Interpretation ===
Let 𝐀 be a propositional formula.

Let  denote the negation operator.


The truth value of 𝐀 under a boolean interpretation v is given by:

:v (   )𝐀 = T    : v (   )𝐀 = F
F    : v (   )𝐀 = T",Definition:Logical Not
1,Definition:Negation Function,Negation,"The negation function is the function defined on the various standard number systems as follows:


=== Integer Negation Function ===
The negation function h: ℤ→ℤ is defined on the set of integers as:
:∀ n ∈ℤ: h (   )n = -n


Category:Definitions/Negation Functions
Category:Definitions/Integers

=== Rational Negation Function ===
The negation function h: ℚ→ℚ is defined on the set of rational numbers as:
:∀ x ∈ℚ: h (   )x = -x


Category:Definitions/Negation Functions
Category:Definitions/Rational Numbers

=== Real Negation Function ===
The negation function h: ℝ→ℝ is defined on the set of real numbers as:
:∀ x ∈ℝ: h (   )x = -x


Category:Definitions/Negation Functions
Category:Definitions/Real Numbers

=== Complex Negation Function ===
The negation function h: ℝ→ℝ is defined on the set of complex numbers as:
:∀ z = x + i y ∈ℂ: h (   )z = -x - i y


Category:Definitions/Negation Functions
Category:Definitions/Complex Numbers

Category:Definitions/Numbers
Category:Definitions/Negation Functions",Definition:Negation Function
2,Definition:Content of Polynomial,Content,"=== Integer Polynomial ===
Let f ∈ℤ[ X ] be a polynomial with integer coefficients.

Then the content of f, denoted cont( f ), is the greatest common divisor of the coefficients of f.

=== Rational Polynomial ===
Let f ∈ℚ[ X ] be a polynomial with rational coefficients.


The content of f is defined as:
:cont( f ) := cont( n f )  n
where n ∈ℕ is such that n f ∈ℤ[ X ].

=== Polynomial in GCD Domain ===
Let D be a GCD domain.

Let K be the field of quotients of D.

Let f ∈ K [ X ] be a polynomial.

Let a ∈ D be such that a f ∈ D [ X ].

Let d be the greatest common divisor of the coefficients of a f.

Then we define the content of f to be:
:cont( f ) :=  d a",Definition:Content of Polynomial/Integer
3,Definition:Content of Polynomial/Integer,Content,"Let f ∈ℤ[ X ] be a polynomial with integer coefficients.

Then the content of f, denoted cont( f ), is the greatest common divisor of the coefficients of f.",Definition:Content of Polynomial/Integer
4,Definition:Content of Polynomial/Rational,Content,"Let f ∈ℚ[ X ] be a polynomial with rational coefficients.


The content of f is defined as:
:cont( f ) := cont( n f )  n
where n ∈ℕ is such that n f ∈ℤ[ X ].",Definition:Content of Polynomial/Integer
5,Definition:Like Vector Quantities,Like,"Let 𝐚 and 𝐛 be vector quantities.

Then 𝐚 and 𝐛 are known as like vector quantities  if and only if  they have the same direction.",Definition:Like Vector Quantities
6,Definition:Electric Charge/Polarity/Like,Like,"If 2 electric charges are of the same polarity, they are referred to as being like (electric) charges.


The usage is archaic; the word one would expect is alike.",Definition:Like Vector Quantities
7,Definition:Polygon/Internal Angle,Interior Angle,"The internal angle of a vertex of a polygon is the size of the angle between the sides adjacent to that vertex, as measured inside the polygon.",Definition:Polygon/Internal Angle
8,Definition:Transversal (Geometry)/Interior Angle,Interior Angle,":


An interior angle of a transversal is an angle which is between the two lines cut by that transversal.

In the above figure, the interior angles with respect to the transversal EF are:
:∠ AHJ
:∠ CJH
:∠ BHJ
:∠ DJH",Definition:Polygon/Internal Angle
9,Definition:Convolution Integral,Convolution,"Let f and g be real functions which are integrable.

The convolution integral of f and g is defined as:
:f (   )t * g (   )t := ∫_-∞^∞ f (   )u g (   )t - u d u


=== Positive Real Domain ===
Let f and g be functions which are integrable.

Let f and g be supported on the positive real numbers ℝ_≥ 0 only.

The convolution integral of f and g may be defined as:
:f (   )t * g (   )t := ∫_0^t f (   )u g (   )t - u d u

=== Cross-Correlation ===
Let f and g be real functions which are integrable.


The cross-correlation of f and g is defined as:
:f (   )t ⋆ g (   )t := ∫_-∞^∞ f (   )u g (   )t + u d u",Definition:Convolution of Measures
10,Definition:Convolution (Measure Theory),Convolution,"Let ℬ^n be the Borel σ-algebra on ℝ^n, and let λ^n be Lebesgue measure on ℝ^n.


=== Convolution of Measurable Functions ===
Let ℬ^n be the Borel σ-algebra on ℝ^n, and let λ^n be Lebesgue measure on ℝ^n.

Let f, g: ℝ^n →ℝ be ℬ^n-measurable functions such that for all x ∈ℝ^n:

:∫_ℝ^n f (   )x - y g (   )y  dλ^n (   )y

is finite.


The convolution of f and g, denoted f * g, is the mapping defined by:

:f * g: ℝ^n →ℝ, f * g (   )x := ∫_ℝ^n f (   )x - y g (   )y  dλ^n (   )y

=== Convolution of Measurable Function and Measure ===
Let μ be a measure on the Borel σ-algebra ℬ^n on ℝ^n.

Let f: ℝ^n →ℝ be a ℬ^n-measurable function such that for all x ∈ℝ^n:

:∫_ℝ^n f (   )x - y dμ(   )y

is finite.


The convolution of f and μ is the mapping f * μ: ℝ^n →ℝ defined as:

:∀ x ∈ℝ^n: f * μ(   )x := ∫_ℝ^n f (   )x - y dμ(   )y

=== Convolution of Measures ===
Let μ and ν be measures on the Borel σ-algebra ℬ^n on ℝ^n.


The convolution of μ and ν, denoted μ * ν, is the measure defined by:

:μ * ν: ℬ^n →R, μ * ν(   )B := ∫χ_B (   )x + y dμ(   )x  dν(   )y
where χ_B is the characteristic function of B.",Definition:Convolution of Measurable Function and Measure
11,Definition:Convolution of Measurable Functions,Convolution,"Let ℬ^n be the Borel σ-algebra on ℝ^n, and let λ^n be Lebesgue measure on ℝ^n.

Let f, g: ℝ^n →ℝ be ℬ^n-measurable functions such that for all x ∈ℝ^n:

:∫_ℝ^n f (   )x - y g (   )y  dλ^n (   )y

is finite.


The convolution of f and g, denoted f * g, is the mapping defined by:

:f * g: ℝ^n →ℝ, f * g (   )x := ∫_ℝ^n f (   )x - y g (   )y  dλ^n (   )y",Definition:Convolution of Mappings on Divisor-Finite Monoid
12,Definition:Convolution of Measurable Function and Measure,Convolution,"Let μ be a measure on the Borel σ-algebra ℬ^n on ℝ^n.

Let f: ℝ^n →ℝ be a ℬ^n-measurable function such that for all x ∈ℝ^n:

:∫_ℝ^n f (   )x - y dμ(   )y

is finite.


The convolution of f and μ is the mapping f * μ: ℝ^n →ℝ defined as:

:∀ x ∈ℝ^n: f * μ(   )x := ∫_ℝ^n f (   )x - y dμ(   )y",Definition:Convolution of Mappings on Divisor-Finite Monoid
13,Definition:Convolution of Measures,Convolution,"Let μ and ν be measures on the Borel σ-algebra ℬ^n on ℝ^n.


The convolution of μ and ν, denoted μ * ν, is the measure defined by:

:μ * ν: ℬ^n →R, μ * ν(   )B := ∫χ_B (   )x + y dμ(   )x  dν(   )y
where χ_B is the characteristic function of B.",Definition:Convolution Integral
14,Definition:Dirichlet Convolution,Convolution,"Let f, g be arithmetic functions.


=== Definition 1 ===
Let f, g be arithmetic functions.


The Dirichlet convolution of f and g is the arithmetic function:
:( f * g )  (   )n = ∑_d \ n f (   )d g (   )n/d
where the summation runs over the set of positive divisors d of n.

=== Definition 2 ===
Let f, g be arithmetic functions.


The Dirichlet convolution of f and g is the arithmetic function:
:( f * g )  (   )n = ∑_a b  = n f (   )a g (   )b
where the summation runs over all pairs of positive integers ( a, b ) with a b = n.",Definition:Convolution (Measure Theory)
15,Definition:Convolution of Mappings on Divisor-Finite Monoid,Convolution,"Let ( M, ·) be a divisor-finite monoid.

Let ( R, +, ×) be a non-associative ring.

Let f, g : M → R be mappings.


The convolution of f and g is the mapping f * g: M → R defined as:
:∀ m ∈ M: ( f * g )  (   )m := ∑_x y  = m f (   )x × g (   )y
where the summation is over the finite set {( x, y ) ∈ M^2: x y = m }.",Definition:Convolution of Mappings on Divisor-Finite Monoid
16,Definition:Simple Group,Simple,"A group G is simple  if and only if  it has only G and the trivial group as normal subgroups.

That is,  if and only if  the composition length of G is 1.",Definition:Continued Fraction/Simple
17,Definition:Simple Field Extension,Simple,"Let E / F be a field extension.


Then E is a simple extension over F  if and only if :
:∃α∈ E: E = F [ α]
where F [ α] is the field extension generated by α.",Definition:Continued Fraction/Simple
18,Definition:Continued Fraction/Simple,Simple,"Let ℝ be the field of real numbers.


=== Simple Finite Continued Fraction ===
Let ℝ be the set of real numbers.

Let n ≥ 0 be a natural number.


A simple finite continued fraction of length n is a finite continued fraction in ℝ of length n whose partial denominators are integers that are strictly positive, except perhaps the first.

That is, it is a finite sequence a: [ 0  . . ]n →ℤ with a_n > 0 for n > 0.

=== Simple Infinite Continued Fraction ===
Let ℝ be the field of real numbers.


A simple infinite continued fraction is a infinite continued fraction in ℝ whose partial denominators are integers that are strictly positive, except perhaps the first.

That is, it is a sequence a: ℕ_≥ 0→ℤ with a_n > 0 for n > 0.",Definition:Multigraph/Simple Edge
19,Definition:Continued Fraction/Simple/Finite,Simple,"Let ℝ be the set of real numbers.

Let n ≥ 0 be a natural number.


A simple finite continued fraction of length n is a finite continued fraction in ℝ of length n whose partial denominators are integers that are strictly positive, except perhaps the first.

That is, it is a finite sequence a: [ 0  . . ]n →ℤ with a_n > 0 for n > 0.",Definition:Simple Function
