"term","def","file_name","extraction_rule","plain_text_def","plain_text_term"
"$(C,\alpha)$-rich","[$(C,\alpha)$-rich in copies of $Z_\ell^{r,t}$]\label{def:rich}
Let~$X$ and~$Y$ be disjoint vertex sets in a graph~$G$, let~$C \in \NATS$ and
$\alpha > 0$, and let $s := (2^\ell+ r - 3) t$. We say that $(X,Y)$ is
\emph{$(C,\alpha)$-rich} in copies of $Z_\ell^{r,t}$ if
\begin{align*}
& \exists \, D=D(\tpl{e}{0})\subset E(X) \; \forall  \, e_1\in D \; \exists \,
D(\tpl{e}{1})\subset E(X) \; \forall \, e_2 \in D(\tpl{e}{1}) \quad \dots \\ &
\hspace{2cm} \dots \quad \forall \, e_{\ell-1} \in D(\tpl{e}{\ell-2}) \;
\exists \, D(\tpl{e}{\ell-1}) \subset E(X) \; \forall \, e_\ell \in
D(\tpl{e}{\ell-1})
\end{align*}
the following properties hold:
\begin{enumerate}[label=\abc]
  \item\label{def:rich:a} $\delta(D), \delta\big(D(\tpl{e}{1})\big), \dots,
  \delta\big(D(\tpl{e}{\ell-1})\big) > C$, and 
  \item\label{def:rich:b} $\left|
  \big\{ S \in \cF_\ell^{r,t}(Y) \,:\, \tpl{e}{\ell} \to S \big\} \right|  \ge
  \alpha |Y|^s$.
\end{enumerate}
If $(X,Y)$ is $(C,\alpha)$-rich in copies of $Z_\ell^{r,t}$, then, for each $q \in [\ell]$, define
\begin{equation}\label{def:Dq}
\cD_q(X,Y) \, := \, \Big\{ \tpl{e}{q} \in E(X)^q \,:\, e_{j} \in D(\tpl{e}{j-1})
\textup{ for each } j \in [q] \Big\},
\end{equation}
where $D(\tpl{e}{0}) := D$.","1108.1746#ChromaticThreshold.tex","definition + \emph{}","[(C,α)-rich in copies of Z_ℓ^r,t]
Let X and Y be disjoint vertex sets in a graph G, let C ∈ and
α > 0, and let s := (2^ℓ+ r - 3) t. We say that (X,Y) is
(C,α)-rich in copies of Z_ℓ^r,t if

    ∃  D=D(e0)⊂ E(X)  ∀  e_1∈ D  ∃ 
    D(e1)⊂ E(X)  ∀  e_2 ∈ D(e1)   …
       …  ∀  e_ℓ-1∈ D(eℓ-2)  ∃  D(eℓ-1) ⊂ E(X)  ∀  e_ℓ∈
    D(eℓ-1)

the following properties hold:

  
  *  δ(D), δ(D(e1)), …,
  δ(D(eℓ-1)) > C, and 
  
  *  |
  { S ∈_ℓ^r,t(Y)  : eℓ→ S }|  ≥α |Y|^s.

If (X,Y) is (C,α)-rich in copies of Z_ℓ^r,t, then, for each q ∈ [ℓ], define

    _q(X,Y)   :=  {eq∈ E(X)^q  :  e_j∈ D(ej-1)
     j ∈ [q] },

where D(e0) := D.","(C,α)-rich"
"$(C,\alpha)$-rich","[Definition~21 of~\cite{ChromThresh}, $(C,\alpha)$-rich in copies of $Z_\ell^{r,t}$]\label{def:rich}
Let~$X$ and~$Y$ be disjoint vertex sets in a graph~$G$, let~$C \in \NATS$ and
$\alpha > 0$, and let $s := (2^\ell+ r - 3) t$. We say that $(X,Y)$ is
\emph{$(C,\alpha)$-rich} in copies of $Z_\ell^{r,t}$ if
\begin{align*}
& \exists \, D=D(\tpl{e}{0})\subset E(X) \; \forall  \, e_1\in D \; \exists \,
D(\tpl{e}{1})\subset E(X) \; \forall \, e_2 \in D(\tpl{e}{1}) \quad \dots \\ &
\hspace{2cm} \dots \quad \forall \, e_{\ell-1} \in D(\tpl{e}{\ell-2}) \;
\exists \, D(\tpl{e}{\ell-1}) \subset E(X) \; \forall \, e_\ell \in
D(\tpl{e}{\ell-1})
\end{align*}
the following properties hold:
\begin{enumerate}[label=\abc]
  \item\label{def:rich:a} $\delta(D), \delta\big(D(\tpl{e}{1})\big), \dots,
  \delta\big(D(\tpl{e}{\ell-1})\big) > C$, and 
  \item\label{def:rich:b} $\left|
  \big\{ S \in \cF_\ell^{r,t}(Y) \,:\, \tpl{e}{\ell} \to S \big\} \right|  \ge
  \alpha |Y|^s$.
\end{enumerate}","1508.03870#RCTdense.tex","definition + \emph{}","[Definition 21 of <cit.>, (C,α)-rich in copies of Z_ℓ^r,t]
Let X and Y be disjoint vertex sets in a graph G, let C ∈ and
α > 0, and let s := (2^ℓ+ r - 3) t. We say that (X,Y) is
(C,α)-rich in copies of Z_ℓ^r,t if

    ∃  D=D(e0)⊂ E(X)  ∀  e_1∈ D  ∃ 
    D(e1)⊂ E(X)  ∀  e_2 ∈ D(e1)   …
       …  ∀  e_ℓ-1∈ D(eℓ-2)  ∃  D(eℓ-1) ⊂ E(X)  ∀  e_ℓ∈
    D(eℓ-1)

the following properties hold:

  
  *  δ(D), δ(D(e1)), …,
  δ(D(eℓ-1)) > C, and 
  
  *  |
  { S ∈_ℓ^r,t(Y)  : eℓ→ S }|  ≥α |Y|^s.
","(C,α)-rich"
"$(R,c)$-expander","Let $G=(V,E)$ be a graph with $|V|=n$. Let $R:=R(n)$ and $c:=c(n)$
be two positive integers. We say that the graph $G$ is an
\emph{$(R,c)$-expander} if it satisfies the following two
properties:

\begin{description}
\item [$(E1)$] For every subset $X\subseteq V$
        with $|X|\leq R$, $|N(X)\setminus X|\geq c|X|$.
\item [$(E2)$] $|E(X,Y)|>0$ for every two disjoint subsets $X,Y\subseteq V$ of size
$|X|=|Y|=R$.
\end{description}","1203.3444#1203.3444.tex","definition + \emph{}","Let G=(V,E) be a graph with |V|=n. Let R:=R(n) and c:=c(n)
be two positive integers. We say that the graph G is an
(R,c)-expander if it satisfies the following two
properties:



  (E1) For every subset X⊆ V
        with |X|≤ R, |N(X)∖ X|≥ c|X|.

  (E2) |E(X,Y)|>0 for every two disjoint subsets X,Y⊆ V of size
|X|=|Y|=R.
","(R,c)-expander"
"$(R,c)$-expander","For every $c>0$ and every positive integer $R$ we say that a graph
$G=(V,E)$ is  an \emph{$(R,c)$-expander} if $|N(U)|\geq c|U|$ for
every subset of vertices $U\subseteq V$ such that $|U|\leq R$.","1210.7618#1210.7618.tex","definition + \emph{}","For every c>0 and every positive integer R we say that a graph
G=(V,E) is  an (R,c)-expander if |N(U)|≥ c|U| for
every subset of vertices U⊆ V such that |U|≤ R.","(R,c)-expander"
"$(R,c)$-expander","For every $c>0$ and every positive integer $R$ we say that a graph
  $G=(V,E)$ is an \emph{$(R,c)$-expander} if every subset of vertices
  $U\subseteq V$ of cardinality $|U|\le R$ satisfies $|N_G(U)|\ge c|U|$.","1508.07355#trace2.tex","definition + \emph{}","For every c>0 and every positive integer R we say that a graph
  G=(V,E) is an (R,c)-expander if every subset of vertices
  U⊆ V of cardinality |U|≤ R satisfies |N_G(U)|≥ c|U|.","(R,c)-expander"
"$(\delta, j, \widehat{\alpha","Let $\widehat{\alpha} = (\alpha)_{i=0}^{s}$ be a decreasing sequence of positive real numbers with $\alpha_0 = 1$. Let $\widehat{\beta} = (\beta_i)_{i=2}^{s
+2}$ be the corresponding $BE(\delta, \widehat{\alpha})$ sequence. Let $0< \delta< 1$, we say that $\varepsilon>0$ is \textit{$(\delta, j, \widehat{\alpha} )$-compatible} for $j\leq s$, if $\varepsilon$ satisfies
\[  \left(\frac{\alpha_j-5\varepsilon}{\alpha_j-\varepsilon} - 2\varepsilon \sum\limits_{t=1}^{j+1}\frac{1}{\alpha_{t-1}}\right)>(1-\delta)\quad  \text{and} \quad
2(d+2)^2\varepsilon^{\frac{1}{d+1}} \leq \min(\alpha_j, \beta_{j+2})\delta. \]","1802.06959#1802.06959.tex","definition + \textit{}","Let α = (α)_i=0^s be a decreasing sequence of positive real numbers with α_0 = 1. Let β = (β_i)_i=2^s
+2 be the corresponding BE(δ, α) sequence. Let 0< δ< 1, we say that ε>0 is (δ, j, α )-compatible for j≤ s, if ε satisfies

    (α_j-5ε/α_j-ε - 2ε∑_t=1^j+11/α_t-1)>(1-δ)  and  
    2(d+2)^2ε^1/d+1≤min(α_j, β_j+2)δ.
","(δ, j, α"
"$(\delta, j, \widehat{\alpha","Let $\widehat{\alpha} = (\alpha)_{i=0}^{s}$ be a decreasing sequence of positive real numbers with $\alpha_0 = 1$. Let $0< \delta< 1$, and $\widehat{\beta} = (\beta_i)_{i=2}^{s
+2}$ be the corresponding $BE(\delta, \widehat{\alpha})$ sequence.  We say that $\varepsilon>0$ is \textit{$(\delta, j, \widehat{\alpha} , d)$-compatible} for $j\leq s\leq d-2$, if $\varepsilon$ satisfies
\begin{equation}\label{eq:epsilon-def}
  \left(\frac{\alpha_j-5\varepsilon}{\alpha_j-\varepsilon} - 2\varepsilon \sum\limits_{t=1}^{j+1}\frac{1}{\alpha_{t-1}}\right)>(1-\delta)\quad  \text{and} \quad
2(d+2)^2\varepsilon^{\frac{1}{d+1}} \leq  \beta_{j+2}\delta. 
\end{equation}","1912.10571#1912.10571.tex","definition + \textit{}","Let α = (α)_i=0^s be a decreasing sequence of positive real numbers with α_0 = 1. Let 0< δ< 1, and β = (β_i)_i=2^s
+2 be the corresponding BE(δ, α) sequence.  We say that ε>0 is (δ, j, α , d)-compatible for j≤ s≤ d-2, if ε satisfies

    (α_j-5ε/α_j-ε - 2ε∑_t=1^j+11/α_t-1)>(1-δ)  and  
    2(d+2)^2ε^1/d+1≤β_j+2δ.
","(δ, j, α"
"$(\ep,d)$-reduced graph","\label{def:reduced}
Given a 2-colored graph $G$ and a partition $\{V_0, V_1, \dots, V_k\}$ satisfying the conclusion of Lemma \ref{2colordegreeform}, we define the $(\ep, d)$-reduced graph of $G$ to be the graph $\Gamma$ on vertex set $\{V_1, \dots, V_k\}$ such that $V_iV_j$ is an edge of $\Gamma$ if $G'[V_i, V_j]$ has density greater than $2d$.  For each $V_iV_j\in E(\Gamma)$, we assign color $1$ if $G'_1[V_i, V_j]$ has density greater than $d$ and color $2$ if $G'_2[V_i, V_j]$ has density greater than $d$ (note that since the total density is greater than $2d$ every edge must receive a color, but it need not be unique).","1611.05423#revised-infMono-8-14-18.tex","definition[]","
Given a 2-colored graph G and a partition {V_0, V_1, …, V_k} satisfying the conclusion of Lemma <ref>, we define the (, d)-reduced graph of G to be the graph Γ on vertex set {V_1, …, V_k} such that V_iV_j is an edge of Γ if G'[V_i, V_j] has density greater than 2d.  For each V_iV_j∈ E(Γ), we assign color 1 if G'_1[V_i, V_j] has density greater than d and color 2 if G'_2[V_i, V_j] has density greater than d (note that since the total density is greater than 2d every edge must receive a color, but it need not be unique).","(,d)-reduced graph"
"$(\ep,d)$-reduced graph","\label{def:reduced}
Given a graph $G$, an initial partition $\{Q_1, \dots, Q_\ell\}$, and a partition $\{V_0, V_1, \dots, V_k\}$ satisfying conditions (i)-(vi) of Lemma \ref{2colordegreeform}, we define the $(\ep, d)$-reduced graph of $G$ to be the graph $\Gamma$ on vertex set $\{V_1, \dots, V_k\}$ such that $V_iV_j$ is an edge of $\Gamma$ if $G'[V_i, V_j]$ has density at least $2d$.  For each $V_iV_j\in E(\Gamma)$, we assign color $1$ if $G'_1[V_i, V_j]$ has density at least $d$ and color $2$ if $G'_2[V_i, V_j]$ has density at least $d$ (note that since the total density is at least $2d$ every edge must receive a color, but it need not be unique).","1409.1874#2colorCycles_arXiv_090116.tex","definition[]","
Given a graph G, an initial partition {Q_1, …, Q_ℓ}, and a partition {V_0, V_1, …, V_k} satisfying conditions (i)-(vi) of Lemma <ref>, we define the (, d)-reduced graph of G to be the graph Γ on vertex set {V_1, …, V_k} such that V_iV_j is an edge of Γ if G'[V_i, V_j] has density at least 2d.  For each V_iV_j∈ E(Γ), we assign color 1 if G'_1[V_i, V_j] has density at least d and color 2 if G'_2[V_i, V_j] has density at least d (note that since the total density is at least 2d every edge must receive a color, but it need not be unique).","(,d)-reduced graph"
"$(\ep,d)$-reduced graph","\label{def:reduced}
Given an $X,Y$-bipartite graph $G$ and partitions $\{U_0, U_1,\dots, U_k\}$ of $X$ and $\{V_0,
V_1,\dots, V_k\}$ of $Y$ satisfying conditions (i)-(v) of Lemma \ref{2colordegreeform}, we define the $(\ep, d)$-reduced graph of $G$ to be the bipartite graph $\Gamma$ on vertex set $\{U_1, \dots, U_k\} \cup \{V_1, \dots, V_k\}$ such that $U_iV_j$ is an edge of $\Gamma$ if $G'[U_i, V_j]$ has density at least $2d$.  For each $U_iV_j\in E(\Gamma)$, we assign red if $G'_R[U_i, V_j]$ has density at least $d$, and blue if $G'_B[U_i, V_j]$ has density at least $d$.","1806.05119#2colorbipartitePath_061318.tex","definition[]","
Given an X,Y-bipartite graph G and partitions {U_0, U_1,…, U_k} of X and {V_0,
V_1,…, V_k} of Y satisfying conditions (i)-(v) of Lemma <ref>, we define the (, d)-reduced graph of G to be the bipartite graph Γ on vertex set {U_1, …, U_k}∪{V_1, …, V_k} such that U_iV_j is an edge of Γ if G'[U_i, V_j] has density at least 2d.  For each U_iV_j∈ E(Γ), we assign red if G'_R[U_i, V_j] has density at least d, and blue if G'_B[U_i, V_j] has density at least d.","(,d)-reduced graph"
