mentioned_proofwiki_terms,count
['Graph'],133
['Regular'],40
['Product'],32
['Tree'],29
['Dual'],27
['Table'],26
['Sign'],25
['Normal'],23
['Connected'],22
['Weight'],22
['Simple'],22
['Dimension'],22
"['Decomposition', 'Composition']",21
['Top'],21
['Complex'],20
['Factor'],20
['Free'],18
['Degree'],18
['Rank'],18
['Sum'],18
['Compatible'],17
['Diagram'],17
['Word'],16
['Algebra'],15
['Path'],15
['Complete'],14
['Embedding'],13
['Cyclic'],13
['Support'],13
['Order'],13
['Closure'],12
['Join'],12
['Perfect'],12
"['Cyclic', 'Acyclic']",11
['Monotone'],11
['Distance'],11
['Limit'],10
"['Irreducible', 'Reducible']",10
['Homomorphism'],9
['Minor'],9
['Trivial'],9
['Composition'],9
['Canonical'],9
['Closed'],9
"['Signature', 'Sign']",9
['Density'],9
['Family'],8
['Complement'],8
['Independent'],8
['Proper'],8
['Transitive'],8
['Index'],7
['Compact'],7
['Circuit'],7
['Parallel'],7
['Reducible'],7
['Dominate'],7
"['Decomposition', 'Tree', 'Composition']",7
['Vertex'],7
['Entropy'],7
['Linear Form'],7
['Valid'],7
['Automorphism'],6
['Common'],6
['Strong'],6
['Cut'],6
['Extension'],6
"['Weak', 'Composition']",6
['Isomorphism'],6
['Multiplicity'],6
['Zero'],6
['Smooth'],5
['Action'],5
['Consistent'],5
"['Connected', 'Strong']",5
['Primitive'],5
['Orientation'],5
"['Characteristic', 'Character', 'Weight', 'Orthogonal', 'Radius']",5
['Chain'],5
['Substitution'],5
['Field'],5
['Homogeneous'],5
['Row'],5
['Basis'],5
"['Section', 'Graph', 'Intersection']",5
['Space'],5
['Length'],5
['Separated'],4
['Triangle'],4
"['Major', 'Index']",4
['Edge'],4
['Separable'],4
['Range'],4
"['Perfect', 'State']",4
['Discrete'],4
"['Decomposition', 'Path', 'Composition']",4
"['Graph', 'Dual']",4
['Height'],4
"['Edge', 'Graph']",4
"['Complex', 'Order']",4
"['Section', 'Intersection']",4
['Cone'],4
['Diagonal'],4
['Content'],4
"['Root', 'Degree']",4
['Age'],4
['Class'],4
['Meet'],4
['Cycle'],4
['Weak'],4
['Segment'],4
['Adjacent'],4
['Pair'],4
"['Ideal', 'Edge']",3
"['Root', 'Tree', 'Directed']",3
['Subdivision'],3
"['Weight', 'Degree', 'Monotone']",3
"['Cyclic', 'Dimension', 'Acyclic']",3
"['Singular', 'Content', 'Residue']",3
"['Atom', 'Factor']",3
['Generated'],3
['Similar'],3
"['Graph', 'Sign']",3
"['Product', 'Tensor Product']",3
"['Tree', 'Order']",3
['Degenerate'],3
['Convex'],3
['Boundary'],3
['Orthogonal'],3
"['Complete', 'Extension']",3
['Conjugate'],3
"['Index', 'Cycle']",3
['Projection'],2
"['Root', 'Tree', 'Graph']",2
"['Support', 'Pair']",2
"['Graph', 'Complete']",2
"['Word', 'Weight', 'Table', 'Orthogonal']",2
"['Field', 'Homomorphism']",2
['Rotation'],2
"['Class', 'Rotation']",2
"['Row', 'Convolution', 'Kernel', 'Degree']",2
"['Left', 'Trivial', 'Right', 'Proper', 'Cut']",2
['Representation'],2
['System'],2
"['Bar', 'Diagram']",2
['Atom'],2
"['Characteristic', 'Character', 'Euler Characteristic']",2
"['Tree', 'Net']",2
"['Complex', 'Top']",2
"['Difference', 'System']",2
"['Tree', 'Proper']",2
['Neutral'],2
['Section'],2
['Archimedean'],2
"['Proper', 'Face']",2
"['Skew', 'Metrizable']",2
"['Cyclic', 'Acyclic', 'Orientation']",2
"['Left', 'Homogeneous']",2
"['Major', 'Weak']",2
"['Weak', 'Strong']",2
"['Weak', 'Equivalence', 'Dual']",2
['Dense'],2
"['Vertex', 'Minor']",2
['Domain'],2
['Critical Point'],2
['Term'],2
['Loop'],2
"['Compatible', 'Universal']",2
"['Trivial', 'Extension']",2
"['Triangle', 'Term']",2
['Transversal'],2
"['Cone', 'Tangent']",2
"['Cyclic', 'Acyclic', 'System']",2
