dd_page_title,term,definition,def_page_title,categories,plain_text_definition
Definition:Above,Above,"In the context of numbers, above means greater than.

Note that this applies to:
:the natural numbers $\mathbb N$
:the integers $\mathbb Z$
:the rational numbers $\mathbb Q$
:the real numbers $\mathbb R$

but specifically not the complex numbers $\mathbb C$ because the complex numbers do not have a usual ordering.",Definition:Above (Number),['Definitions/Language Definitions'],"In the context of numbers, above means greater than.

Note that this applies to:
:the natural numbers ℕ
:the integers ℤ
:the rational numbers ℚ
:the real numbers ℝ

but specifically not the complex numbers ℂ because the complex numbers do not have a usual ordering."
Definition:Above,Above,"Let $a$ and $b$ be points in $3$-dimensional Euclidean space $\mathbb R^3$.

Let $P$ be an arbitrary plane embedded in $S$ be distinguished and defined as horizontal.

Then:
:$a$ is above $b$
 if and only if :
:the height of $a$   $P$ is greater than the height of $b$   $P$.",Definition:Above (Solid Geometry),"['Definitions/Language Definitions', 'Definitions/Solid Geometry']","Let a and b be points in 3-dimensional Euclidean space ℝ^3.

Let P be an arbitrary plane embedded in S be distinguished and defined as horizontal.

Then:
:a is above b
 if and only if :
:the height of a   P is greater than the height of b   P."
Definition:Above,Above,"Let $a$ and $b$ be points in the cartesian plane $\mathbb R^2$.

Then:
:$a$ is above $b$
 if and only if :
:the $y$ coordinate of $a$ is greater than the $y$ coordinate of $b$.",Definition:Above (Plane Geometry),"['Definitions/Language Definitions', 'Definitions/Plane Geometry']","Let a and b be points in the cartesian plane ℝ^2.

Then:
:a is above b
 if and only if :
:the y coordinate of a is greater than the y coordinate of b."
Definition:Absolute,Absolute,"An absolute number is a number in an expression which has a single value.

It is either expressed using actual figures, in an agreed number system, or by a symbol which is understood to represent that specific number.",Definition:Absolute Number,"['Definitions/Algebra', 'Definitions/Numbers']","An absolute number is a number in an expression which has a single value.

It is either expressed using actual figures, in an agreed number system, or by a symbol which is understood to represent that specific number."
Definition:Absolute,Absolute,"A constant is a name for an object (usually a number, but the concept has wider applications) which does not change during the context of a logical or mathematical argument.


A constant can be considered as an operator which takes no operands.

A constant can also be considered as a variable whose domain is a singleton.",Definition:Constant,"['Definitions/Constants', 'Definitions/Algebra']","A constant is a name for an object (usually a number, but the concept has wider applications) which does not change during the context of a logical or mathematical argument.


A constant can be considered as an operator which takes no operands.

A constant can also be considered as a variable whose domain is a singleton."
Definition:Absolute,Absolute,"Let $f: \mathbb R^n \to \mathbb R$ be a real-valued function.

Let $f$ be such that, for all $\mathbf x := \left( x_1, x_2, \ldots, x_n \right) \in \mathbb R^n$:
:$f \left(   \right){\mathbf x} = f \left(   \right){\mathbf y}$
where $\mathbf y$ is a permutation of $\left( x_1, x_2, \ldots, x_n \right)$.

Then $f$ is an absolutely symmetric function.",Definition:Symmetric Function/Absolute,['Definitions/Symmetric Functions'],"Let f: ℝ^n →ℝ be a real-valued function.

Let f be such that, for all 𝐱 := ( x_1, x_2, …, x_n ) ∈ℝ^n:
:f (   )𝐱 = f (   )𝐲
where 𝐲 is a permutation of ( x_1, x_2, …, x_n ).

Then f is an absolutely symmetric function."
Definition:Absolute,Absolute,"Let $V$ be a Banach space.

Let $\left\langle v_i \right\rangle_{i \mathop \in I}$ be an indexed family of elements of $V$.


Then $\ds \sum \left\lbrace v_i: i \in I \right\rbrace$ converges absolutely  if and only if  $\ds \sum \left\lbrace \left\lVert v_i \right\rVert: i \mathop \in I \right\rbrace$ converges.

This nomenclature is appropriate as we have Absolutely Convergent Generalized Sum Converges.",Definition:Generalized Sum/Absolute Net Convergence,"['Definitions/Group Theory', 'Definitions/Generalized Sums']","Let V be a Banach space.

Let ⟨ v_i ⟩_i ∈ I be an indexed family of elements of V.


Then ∑{ v_i: i ∈ I } converges absolutely  if and only if  ∑{‖ v_i ‖: i ∈ I } converges.

This nomenclature is appropriate as we have Absolutely Convergent Generalized Sum Converges."
Definition:Absolute,Absolute,"Let $T_1 = \left( S_1, \tau_1 \right)$ be a topological space.

Let $T_2 = \left( S_2, \tau_2 \right)$ be a topological subspace of $T_1$.


Let $T_2$ be a retract of $T_1$.


$T_2$ is an absolute retract of $T_1$  if and only if :
:for every closed subspace $B$ of a $T_4$ space $T$ such that $B$ is homeomorphic to $A$, then $B$ is a retract of $T$.",Definition:Retract (Topology)/Absolute,['Definitions/Topology'],"Let T_1 = ( S_1, τ_1 ) be a topological space.

Let T_2 = ( S_2, τ_2 ) be a topological subspace of T_1.


Let T_2 be a retract of T_1.


T_2 is an absolute retract of T_1  if and only if :
:for every closed subspace B of a T_4 space T such that B is homeomorphic to A, then B is a retract of T."
Definition:Absolute,Absolute,An absolute measure of dispersion is a measure of dispersion that indicates how spread out or scattered a set of observations with respect to the actual values of those observations.,Definition:Absolute Measure of Dispersion,['Definitions/Dispersion (Statistics)'],An absolute measure of dispersion is a measure of dispersion that indicates how spread out or scattered a set of observations with respect to the actual values of those observations.
Definition:Absolute,Absolute,Absolute geometry is the study of Euclidean geometry without the parallel postulate.,Definition:Absolute Geometry,"['Definitions/Absolute Geometry', 'Definitions/Geometry', 'Definitions/Branches of Mathematics']",Absolute geometry is the study of Euclidean geometry without the parallel postulate.
Definition:Absolute,Absolute,"A real number $r$ is absolutely normal if it is normal   every number base $b$.

That is,  if and only if  its basis expansion in every number base $b$ is such that:
:no finite sequence of digits of $r$ of length $n$ occurs more frequently than any other such finite sequence of length $n$.


In particular, for every number base $b$, all digits of $r$ have the same natural density in the basis expansion of $r$.",Definition:Absolutely Normal Number,"['Definitions/Absolutely Normal Numbers', 'Definitions/Normal Numbers', 'Definitions/Numbers']","A real number r is absolutely normal if it is normal   every number base b.

That is,  if and only if  its basis expansion in every number base b is such that:
:no finite sequence of digits of r of length n occurs more frequently than any other such finite sequence of length n.


In particular, for every number base b, all digits of r have the same natural density in the basis expansion of r."
Definition:Absolute,Absolute,"Absolute zero is the lowest temperature which can theoretically be achieved.

It is the temperature where all motion due to thermal effects stops.

Before that temperature can be reached, quantum effects come into play.",Definition:Absolute Zero,['Definitions/Temperature'],"Absolute zero is the lowest temperature which can theoretically be achieved.

It is the temperature where all motion due to thermal effects stops.

Before that temperature can be reached, quantum effects come into play."
Definition:Absolute,Absolute,"Let $\mathbf A$ be an array.


When referring to a specific element of $\mathbf A$ directly by its indices $\left( i, j \right)$, those indices can be referred to as the absolute address of that element.

This terminology is most often seen in the context of computer spreadsheet programs.",Definition:Array/Element/Absolute Address,['Definitions/Arrays'],"Let 𝐀 be an array.


When referring to a specific element of 𝐀 directly by its indices ( i, j ), those indices can be referred to as the absolute address of that element.

This terminology is most often seen in the context of computer spreadsheet programs."
Definition:Action,Action,"Let $B_1$ and $B_2$ be bodies in space.

Let $B_1$ apply a force $\mathbf F$ on $B_2$.

The force $\mathbf F$ is known as the action that $B_1$ applies to $B_2$.",Definition:Action (Physics),['Definitions/Force'],"Let B_1 and B_2 be bodies in space.

Let B_1 apply a force 𝐅 on B_2.

The force 𝐅 is known as the action that B_1 applies to B_2."
Definition:Action,Action,"The action for a given segment from point $A$ to point $B$ on the trajectory of a dynamical system is defined by the line integral:

:$\ds \sum_i \int_A^B p_i \,\mathrm d q_i$

where:
:$q_i$ are the generalized coordinates
:$p_i$ are the generalized momenta.",Definition:Action (Dynamics),['Definitions/Dynamics'],"The action for a given segment from point A to point B on the trajectory of a dynamical system is defined by the line integral:

:∑_i ∫_A^B p_i  d q_i

where:
:q_i are the generalized coordinates
:p_i are the generalized momenta."
Definition:Action,Action,"The action applied by a system from state $1$ to state $2$ is defined as the definite integral of the Lagrangian over time from state $1$ to state $2$:

:$\ds S_{12} = \int_{t_1}^{t_2} \mathcal L \,\mathrm d t$
where:
:$S_{12}$ is the action from $1$ to $2$
:$t$ is time
:$\mathcal L$ is the Lagrangian.",Definition:Action Applied by System,"['Definitions/Hamiltonian Mechanics', 'Definitions/Dimensions of Measurement']","The action applied by a system from state 1 to state 2 is defined as the definite integral of the Lagrangian over time from state 1 to state 2:

:S_12 = ∫_t_1^t_2ℒ d t
where:
:S_12 is the action from 1 to 2
:t is time
:ℒ is the Lagrangian."
